model,token,pairwise_ADE,pre_final_noise_mean_pairwise_ADE,residual_pairwise_ADE,mean_to_output_ADE,cache_parity,x_residual_std,y_residual_std
original_grpo_11970,263c5bd9fb2c5762,1.9989914894104004,0.4578085243701935,1.9452248811721802,1.3859244585037231,5.7220458984375e-06,1.3408467769622803,0.8064711093902588
original_grpo_11970,aff746599fd8582d,2.026069164276123,0.4197002053260803,1.9574568271636963,1.3827850818634033,5.7220458984375e-06,1.342032551765442,0.8303384780883789
original_grpo_11970,946c91b5d1cd5a55,2.0242762565612793,0.5198226571083069,1.941236972808838,1.365387201309204,5.7220458984375e-06,1.3202569484710693,0.8459359407424927
original_grpo_11970,acfc271e3c3d58fa,2.060654640197754,0.5451998114585876,1.9388941526412964,1.371886968612671,7.62939453125e-06,1.312888741493225,0.8487639427185059
original_grpo_11970,5d56faad4e2a53ee,1.947468638420105,0.372079074382782,1.9107308387756348,1.354956865310669,4.291534423828125e-06,1.2935446500778198,0.8351643681526184
original_grpo_11970,11054ab5a1295993,1.9761219024658203,0.4108486771583557,1.914063811302185,1.3532383441925049,6.198883056640625e-06,1.3175486326217651,0.8188592791557312
original_grpo_11970,751662b7a38a5704,1.898127794265747,0.2891940474510193,1.8680713176727295,1.3198723793029785,4.291534423828125e-06,1.2500272989273071,0.8261383175849915
original_grpo_11970,d7bf37cb07855eff,1.9876850843429565,0.45062634348869324,1.9148894548416138,1.3555988073349,5.7220458984375e-06,1.3035612106323242,0.8332185745239258
original_grpo_11970,51917072a2835e88,2.0218706130981445,0.42942190170288086,1.9539120197296143,1.3901559114456177,7.62939453125e-06,1.3380070924758911,0.8447062969207764
original_grpo_11970,71023e606ba25219,1.9714478254318237,0.40326088666915894,1.902066707611084,1.3437919616699219,9.5367431640625e-06,1.2928661108016968,0.8389526009559631
original_grpo_11970,d7f815f394c751e6,1.9366707801818848,0.3079223036766052,1.9172413349151611,1.357741355895996,4.0531158447265625e-06,1.2874614000320435,0.8419306874275208
original_grpo_11970,fd969a1af5b25d83,1.9457545280456543,0.4573953151702881,1.8870621919631958,1.3395155668258667,4.76837158203125e-06,1.295343041419983,0.8253675103187561
