token,model,strict_unsafe_winner,safe_unsafe_tie_at_max
23e39302332152b2,official_il,False,False
23e39302332152b2,original_grpo_11970,True,False
411a748874035630,official_il,False,False
411a748874035630,original_grpo_11970,False,False
79ebfc1d85bf5a51,official_il,False,False
79ebfc1d85bf5a51,original_grpo_11970,False,False
40808270ce205b83,official_il,False,False
40808270ce205b83,original_grpo_11970,False,False
86208267d61253c0,official_il,False,False
86208267d61253c0,original_grpo_11970,False,False
f8268857204e554e,official_il,False,False
f8268857204e554e,original_grpo_11970,False,False
1bf169a6aaf65858,official_il,False,False
1bf169a6aaf65858,original_grpo_11970,False,False
3764407c90d65df3,official_il,False,False
3764407c90d65df3,original_grpo_11970,False,False
38cfd81687975661,official_il,True,False
38cfd81687975661,original_grpo_11970,True,False
42e6895442ab5601,official_il,False,False
42e6895442ab5601,original_grpo_11970,False,False
b34272d337d350d2,official_il,False,False
b34272d337d350d2,original_grpo_11970,False,False
b23ede9a183b5b71,official_il,False,False
b23ede9a183b5b71,original_grpo_11970,False,False
fff951eab9f45288,official_il,False,False
fff951eab9f45288,original_grpo_11970,False,False
4fa9113617d254d4,official_il,False,False
4fa9113617d254d4,original_grpo_11970,False,False
988785170de957da,official_il,False,False
988785170de957da,original_grpo_11970,False,False
046b1cc13f0d5f9d,official_il,False,False
046b1cc13f0d5f9d,original_grpo_11970,False,False
d7fbd35a0f315447,official_il,False,False
d7fbd35a0f315447,original_grpo_11970,False,False
951957b841e05cfa,official_il,False,False
951957b841e05cfa,original_grpo_11970,False,False
61db822891625c3b,official_il,False,False
61db822891625c3b,original_grpo_11970,False,False
759e9e451eba5b47,official_il,False,False
759e9e451eba5b47,original_grpo_11970,False,False
9c05edf9d6e85716,official_il,False,False
9c05edf9d6e85716,original_grpo_11970,False,False
467bbee636b65c84,official_il,False,False
467bbee636b65c84,original_grpo_11970,False,False
4f6409df56a85592,official_il,False,False
4f6409df56a85592,original_grpo_11970,False,False
16ddb1838af755e3,official_il,False,False
16ddb1838af755e3,original_grpo_11970,False,False
2ce59f70a15b5ddf,official_il,False,False
2ce59f70a15b5ddf,original_grpo_11970,False,False
461fb854eaa3583e,official_il,False,False
461fb854eaa3583e,original_grpo_11970,False,False
8b800af555d35794,official_il,False,False
8b800af555d35794,original_grpo_11970,False,False
2ab1b3941f7153cb,official_il,False,False
2ab1b3941f7153cb,original_grpo_11970,False,False
4bc510a669d8549f,official_il,False,False
4bc510a669d8549f,original_grpo_11970,False,False
3387bab95d41528a,official_il,False,False
3387bab95d41528a,original_grpo_11970,False,True
e5acc98f52f458cc,official_il,False,False
e5acc98f52f458cc,original_grpo_11970,False,False
3e9026530c475726,official_il,False,False
3e9026530c475726,original_grpo_11970,False,False
2ae0a44cc4de5c4a,official_il,False,False
2ae0a44cc4de5c4a,original_grpo_11970,False,False
cc94486698ff58d1,official_il,False,False
cc94486698ff58d1,original_grpo_11970,False,False
969763763ce754a4,official_il,False,False
969763763ce754a4,original_grpo_11970,False,False
ff6ab495a139534e,official_il,False,False
ff6ab495a139534e,original_grpo_11970,False,False
70248e0bb43a503b,official_il,False,False
70248e0bb43a503b,original_grpo_11970,False,False
2a2403c9b08b53ac,official_il,False,False
2a2403c9b08b53ac,original_grpo_11970,False,False
854169aa74e95251,official_il,False,False
854169aa74e95251,original_grpo_11970,False,False
93a9927586995095,official_il,False,False
93a9927586995095,original_grpo_11970,False,False
af62d866653053f6,official_il,False,False
af62d866653053f6,original_grpo_11970,False,False
17d296a87fb45380,official_il,False,False
17d296a87fb45380,original_grpo_11970,False,False
5370751917315916,official_il,False,False
5370751917315916,original_grpo_11970,False,False
adaf33e4ba555709,official_il,False,False
adaf33e4ba555709,original_grpo_11970,False,False
1aa0acb229945e9b,official_il,False,False
1aa0acb229945e9b,original_grpo_11970,False,False
fad9e78a17825042,official_il,False,False
fad9e78a17825042,original_grpo_11970,False,False
4eaf32face4b5ece,official_il,False,False
4eaf32face4b5ece,original_grpo_11970,False,False
2db045daf25c5bb7,official_il,False,False
2db045daf25c5bb7,original_grpo_11970,False,False
b23f3d728c08529f,official_il,False,False
b23f3d728c08529f,original_grpo_11970,False,False
dc76a771066b5553,official_il,False,False
dc76a771066b5553,original_grpo_11970,False,False
d76b0458667c59a2,official_il,False,False
d76b0458667c59a2,original_grpo_11970,False,False
8cf3b1868b2f5262,official_il,False,False
8cf3b1868b2f5262,original_grpo_11970,False,False
990bd9b32e5d5f60,official_il,False,False
990bd9b32e5d5f60,original_grpo_11970,False,False
6320ecb991675a39,official_il,False,False
6320ecb991675a39,original_grpo_11970,False,False
66243e185353563a,official_il,False,False
66243e185353563a,original_grpo_11970,False,False
cde84b97e6505437,official_il,False,False
cde84b97e6505437,original_grpo_11970,False,False
d968f9c81b945be1,official_il,False,False
d968f9c81b945be1,original_grpo_11970,False,False
0a87bb919dbb58b6,official_il,False,False
0a87bb919dbb58b6,original_grpo_11970,False,False
fe5811497ace53af,official_il,False,False
fe5811497ace53af,original_grpo_11970,False,False
1734440b807a58ef,official_il,False,False
1734440b807a58ef,original_grpo_11970,False,False
480434fc72d455af,official_il,False,False
480434fc72d455af,original_grpo_11970,False,False
cb8e247140d55ab2,official_il,False,False
cb8e247140d55ab2,original_grpo_11970,False,False
095770e79ccf5d82,official_il,False,False
095770e79ccf5d82,original_grpo_11970,False,False
d7f25a0ac141583a,official_il,False,False
d7f25a0ac141583a,original_grpo_11970,False,False
4b0df2804f165dda,official_il,False,False
4b0df2804f165dda,original_grpo_11970,False,False
ab6ba1da1dd8592b,official_il,False,False
ab6ba1da1dd8592b,original_grpo_11970,False,False
3feb7781f83754a7,official_il,False,False
3feb7781f83754a7,original_grpo_11970,False,False
6f471ee76c595c92,official_il,False,False
6f471ee76c595c92,original_grpo_11970,False,False
32516745ea1b59ef,official_il,False,False
32516745ea1b59ef,original_grpo_11970,False,False
a65dd6d24f575771,official_il,False,False
a65dd6d24f575771,original_grpo_11970,False,False
9ce305abb88f5ad0,official_il,False,False
9ce305abb88f5ad0,original_grpo_11970,False,False
7af6867add5b5f2c,official_il,False,False
7af6867add5b5f2c,original_grpo_11970,False,False
b65e09c4d8125da0,official_il,False,False
b65e09c4d8125da0,original_grpo_11970,False,False
cbe1e93e188f5490,official_il,False,False
cbe1e93e188f5490,original_grpo_11970,False,False
6ca6a1a4f3dc5d85,official_il,False,False
6ca6a1a4f3dc5d85,original_grpo_11970,False,False
0ee58e583be85ffb,official_il,False,False
0ee58e583be85ffb,original_grpo_11970,False,False
a28a2771a9fa5c1d,official_il,False,False
a28a2771a9fa5c1d,original_grpo_11970,False,False
488e4248a8985e5a,official_il,False,False
488e4248a8985e5a,original_grpo_11970,False,False
0beb530925b9514b,official_il,False,False
0beb530925b9514b,original_grpo_11970,False,False
29b53c57c19b57fe,official_il,False,False
29b53c57c19b57fe,original_grpo_11970,False,False
2639525675535145,official_il,False,False
2639525675535145,original_grpo_11970,False,False
9a83782a2cf85611,official_il,False,False
9a83782a2cf85611,original_grpo_11970,False,False
cd01f21ff39d541a,official_il,False,False
cd01f21ff39d541a,original_grpo_11970,False,False
facaaf8c0e8c5c65,official_il,False,False
facaaf8c0e8c5c65,original_grpo_11970,False,False
88757fb00fda507b,official_il,False,False
88757fb00fda507b,original_grpo_11970,False,False
e9f4daa7d910568c,official_il,False,False
e9f4daa7d910568c,original_grpo_11970,False,False
d6bb0cea4dbd5b44,official_il,False,False
d6bb0cea4dbd5b44,original_grpo_11970,False,False
efad2708409b5834,official_il,False,False
efad2708409b5834,original_grpo_11970,False,False
3a4cfdd4bfa55a5e,official_il,False,False
3a4cfdd4bfa55a5e,original_grpo_11970,False,False
e926ec6a69cc575c,official_il,False,False
e926ec6a69cc575c,original_grpo_11970,False,False
b6093d9c703e54b1,official_il,False,False
b6093d9c703e54b1,original_grpo_11970,False,False
d58eb13402485ae7,official_il,False,False
d58eb13402485ae7,original_grpo_11970,False,False
f1aa5d5ed7c65114,official_il,False,False
f1aa5d5ed7c65114,original_grpo_11970,False,False
4ea3d4068eda5cc5,official_il,False,False
4ea3d4068eda5cc5,original_grpo_11970,False,False
6c0dbda0d8e45ae9,official_il,False,False
6c0dbda0d8e45ae9,original_grpo_11970,False,False
b4322d76ebf8569f,official_il,False,False
b4322d76ebf8569f,original_grpo_11970,False,False
acfc271e3c3d58fa,official_il,False,False
acfc271e3c3d58fa,original_grpo_11970,False,False
b222df74b8155735,official_il,False,False
b222df74b8155735,original_grpo_11970,False,False
415d6cd62f3b5c1c,official_il,False,False
415d6cd62f3b5c1c,original_grpo_11970,False,False
b28e9b2fa67452a7,official_il,False,False
b28e9b2fa67452a7,original_grpo_11970,False,False
bd8dea7f7efc5343,official_il,False,False
bd8dea7f7efc5343,original_grpo_11970,False,False
8224627048195e4f,official_il,False,False
8224627048195e4f,original_grpo_11970,False,False
3225bfcbea245dd7,official_il,False,False
3225bfcbea245dd7,original_grpo_11970,False,False
114a9052bd6851a2,official_il,False,False
114a9052bd6851a2,original_grpo_11970,False,False
f80fe289f8135602,official_il,False,False
f80fe289f8135602,original_grpo_11970,True,False
983b7ed08a4b5a88,official_il,False,False
983b7ed08a4b5a88,original_grpo_11970,False,False
34dd4c6fb6245b9a,official_il,False,False
34dd4c6fb6245b9a,original_grpo_11970,False,False
5895d1e3cb355fb9,official_il,False,False
5895d1e3cb355fb9,original_grpo_11970,False,False
14b505fe90ef5fb8,official_il,False,False
14b505fe90ef5fb8,original_grpo_11970,False,False
1ce58516c7675036,official_il,False,False
1ce58516c7675036,original_grpo_11970,False,False
b1e88b8722105d53,official_il,False,False
b1e88b8722105d53,original_grpo_11970,False,False
410fac99463459e6,official_il,False,False
410fac99463459e6,original_grpo_11970,False,False
5207306ed1a05de8,official_il,False,False
5207306ed1a05de8,original_grpo_11970,False,False
8ba3bff293265674,official_il,False,False
8ba3bff293265674,original_grpo_11970,False,False
69560676d53a56c9,official_il,False,False
69560676d53a56c9,original_grpo_11970,False,False
cef0adbb58ad5ca1,official_il,False,False
cef0adbb58ad5ca1,original_grpo_11970,False,False
c5dcabed55395a6e,official_il,False,False
c5dcabed55395a6e,original_grpo_11970,False,False
8b839595c4105c65,official_il,False,False
8b839595c4105c65,original_grpo_11970,False,False
f32a0e56a5b75884,official_il,False,True
f32a0e56a5b75884,original_grpo_11970,False,True
972eb434cfd159e8,official_il,False,False
972eb434cfd159e8,original_grpo_11970,False,False
505c44ea52485f9d,official_il,False,False
505c44ea52485f9d,original_grpo_11970,False,True
c0b07b38110a556f,official_il,False,False
c0b07b38110a556f,original_grpo_11970,False,False
7fe310f364355e2d,official_il,False,False
7fe310f364355e2d,original_grpo_11970,False,False
efdd48896e7a5f15,official_il,False,False
efdd48896e7a5f15,original_grpo_11970,False,False
e47d448a999b5595,official_il,False,False
e47d448a999b5595,original_grpo_11970,False,False
6c0b6e4fdf005a81,official_il,False,False
6c0b6e4fdf005a81,original_grpo_11970,False,False
071d2ff38b4855ed,official_il,False,False
071d2ff38b4855ed,original_grpo_11970,False,False
b450f88783c15dea,official_il,False,False
b450f88783c15dea,original_grpo_11970,False,False
7b3902956ebc561d,official_il,False,False
7b3902956ebc561d,original_grpo_11970,False,False
dc73cea57e105ebd,official_il,False,False
