model,protocol,split,token,log,PDMS,NC,DAC,TTC,Comfort,EP,raw_progress,end_speed,failure,zero_score,pdms_below50,pdms_below95
a5_grpo_300,deployment,calibration,008a9f9434c75b99,2021.09.14.18.43.41_veh-45_00965_01195,1.0,1.0,1.0,1.0,1.0,1.0,21.363735077568457,4.377969030905255,0.0,0.0,0.0,0.0
a5_grpo_300,deployment,calibration,019cfd828c3f5b7c,2021.07.16.22.40.23_veh-38_00371_00797,0.9997429822693338,1.0,1.0,1.0,1.0,0.999383157446401,50.29707719554298,14.28971094970674,0.0,0.0,0.0,0.0
a5_grpo_300,deployment,calibration,022fef6d66485384,2021.07.09.02.42.50_veh-35_00038_02629,0.9958479401975332,1.0,1.0,1.0,1.0,0.9900350564740799,10.011875767816818,2.611128751584662,0.0,0.0,0.0,0.0
a5_grpo_300,deployment,calibration,025b2d4de25c5036,2021.06.09.14.50.36_veh-26_05825_05901,0.9293841523414992,1.0,1.0,1.0,1.0,0.8305219656195981,9.461597192933738,1.1983758173912202,0.0,0.0,0.0,1.0
a5_grpo_300,deployment,calibration,02ef12eeec9c5667,2021.08.17.14.32.33_veh-08_01262_01528,0.999188743663411,1.0,1.0,1.0,1.0,0.9980529847921866,34.29636495784878,10.335912060380354,0.0,0.0,0.0,0.0
a5_grpo_300,deployment,calibration,05986621844f54a2,2021.10.05.07.10.04_veh-52_00689_01322,0.968488289612436,1.0,1.0,1.0,1.0,0.9243718950698465,21.095100729150996,7.1699447485882715,0.0,0.0,0.0,0.15625
a5_grpo_300,deployment,calibration,064bbfac76a95dae,2021.09.14.20.42.30_veh-45_00805_01078,1.0,1.0,1.0,1.0,1.0,1.0,10.43556657444424,4.7434989537772445,0.0,0.0,0.0,0.0
a5_grpo_300,deployment,calibration,071d2ff38b4855ed,2021.07.16.22.40.23_veh-38_00016_00182,0.9291830193844923,1.0,1.0,1.0,1.0,0.8300392465227817,8.726132908711596,3.034270431585918,0.0,0.0,0.0,0.84375
a5_grpo_300,deployment,calibration,0996ce03d2325a75,2021.09.15.13.16.40_veh-28_00088_00157,0.9755484448140574,1.0,1.0,1.0,1.0,0.9413162675537378,43.981439151321275,11.880058326537627,0.0,0.0,0.0,0.0625
a5_grpo_300,deployment,calibration,0b2061c2aced52de,2021.09.15.11.49.23_veh-28_02024_02091,0.9992961408627969,1.0,1.0,1.0,1.0,0.9983107380707128,50.99320358803547,14.444917714534135,0.0,0.0,0.0,0.0
a5_grpo_300,deployment,calibration,0c9d055f4ccc5d64,2021.07.09.02.42.50_veh-35_00038_02629,1.0,1.0,1.0,1.0,1.0,1.0,16.636578163517502,6.4836357674631335,0.0,0.0,0.0,0.0
a5_grpo_300,deployment,calibration,1035d1c56f0f5ba9,2021.09.15.15.34.53_veh-28_00512_01084,0.9979641014586779,1.0,1.0,1.0,1.0,0.995113843500827,49.88810488524264,14.65199718528799,0.0,0.0,0.0,0.0
a5_grpo_300,deployment,calibration,1090fdb8b57850f6,2021.08.17.13.15.12_veh-45_00324_00489,0.9999873321510353,1.0,1.0,1.0,1.0,0.9999695971624847,44.05680104234453,12.078461686125726,0.0,0.0,0.0,0.0
a5_grpo_300,deployment,calibration,12264b570ba358e9,2021.10.11.05.34.05_veh-50_00971_01251,0.9854418324227691,1.0,1.0,1.0,1.0,0.9650603978146457,15.155607695448463,4.981112574441646,0.0,0.0,0.0,0.0625
a5_grpo_300,deployment,calibration,1734440b807a58ef,2021.10.11.02.57.41_veh-50_00704_00776,1.0,1.0,1.0,1.0,1.0,1.0,45.14095411115077,13.289171870798864,0.0,0.0,0.0,0.0
a5_grpo_300,deployment,calibration,190b153cfd3b5302,2021.07.16.01.22.41_veh-14_04315_07102,0.8531697632916359,1.0,1.0,0.65625,1.0,0.9913574318999261,22.647521466641148,3.7354038287818154,0.34375,0.0,0.0,0.34375
a5_grpo_300,deployment,calibration,1aa0acb229945e9b,2021.08.31.13.27.52_veh-40_00869_01319,0.9989535623157397,1.0,1.0,1.0,1.0,0.9974885495577753,29.598037903713788,8.385836237826911,0.0,0.0,0.0,0.0
a5_grpo_300,deployment,calibration,1b7a2afa56df5d20,2021.07.09.20.26.06_veh-35_03898_05974,0.9922105594668481,1.0,1.0,1.0,1.0,0.9813053427204353,17.830949554152944,4.5547922565177394,0.0,0.0,0.0,0.0
a5_grpo_300,deployment,calibration,1cb9fa36aea25d6a,2021.07.16.01.22.41_veh-14_02626_04289,1.0,1.0,1.0,1.0,1.0,1.0,20.48273798331385,5.404185394381276,0.0,0.0,0.0,0.0
a5_grpo_300,deployment,calibration,1d0a4f1f6cbd5e38,2021.06.14.18.13.35_veh-26_02033_02313,1.0,1.0,1.0,1.0,1.0,1.0,13.704001680291634,5.677385490575329,0.0,0.0,0.0,0.0
a5_grpo_300,deployment,calibration,1d45b9d20e9d5f92,2021.06.23.14.06.20_veh-26_00020_01142,0.980526519447489,1.0,1.0,1.0,1.0,0.9532636466739737,19.145194756065298,3.1818864315056303,0.0,0.0,0.0,0.0
a5_grpo_300,deployment,calibration,1dbae60fb78c532a,2021.08.17.17.17.01_veh-45_02098_02251,0.8867510208265545,1.0,1.0,1.0,1.0,0.728202449983731,18.57817522919262,5.239654189270638,0.0,0.0,0.0,1.0
