protocol,split,token,log,PDMS_grpo,NC_grpo,DAC_grpo,TTC_grpo,Comfort_grpo,EP_grpo,raw_progress_grpo,end_speed_grpo,failure_grpo,zero_score_grpo,pdms_below50_grpo,pdms_below95_grpo,PDMS_sft,NC_sft,DAC_sft,TTC_sft,Comfort_sft,EP_sft,raw_progress_sft,end_speed_sft,failure_sft,zero_score_sft,pdms_below50_sft,pdms_below95_sft,PDMS,NC,DAC,TTC,Comfort,EP,raw_progress,end_speed,failure,zero_score,pdms_below50,pdms_below95
deployment,calibration,008a9f9434c75b99,2021.09.14.18.43.41_veh-45_00965_01195,1.0,1.0,1.0,1.0,1.0,1.0,21.363735077568457,4.377969030905255,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,19.101595599739532,3.693927704677608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2621394778289243,0.6840413262276468,0.0,0.0,0.0,0.0
deployment,calibration,019cfd828c3f5b7c,2021.07.16.22.40.23_veh-38_00371_00797,0.9997429822693338,1.0,1.0,1.0,1.0,0.999383157446401,50.29707719554298,14.28971094970674,0.0,0.0,0.0,0.0,0.9529699471550985,1.0,1.0,1.0,1.0,0.8871278731722365,42.43996610299054,10.848850948397745,0.0,0.0,0.0,0.0,0.04677303511423525,0.0,0.0,0.0,0.0,0.11225528427416454,7.857111092552444,3.4408600013089945,0.0,0.0,0.0,0.0
deployment,calibration,022fef6d66485384,2021.07.09.02.42.50_veh-35_00038_02629,0.9958479401975332,1.0,1.0,1.0,1.0,0.9900350564740799,10.011875767816818,2.611128751584662,0.0,0.0,0.0,0.0,0.9141675753910137,1.0,1.0,1.0,1.0,0.7940021809384328,7.058807548570801,1.527020119696647,0.0,0.0,0.0,0.96875,0.08168036480651952,0.0,0.0,0.0,0.0,0.19603287553564708,2.953068219246017,1.0841086318880149,0.0,0.0,0.0,-0.96875
deployment,calibration,025b2d4de25c5036,2021.06.09.14.50.36_veh-26_05825_05901,0.9293841523414992,1.0,1.0,1.0,1.0,0.8305219656195981,9.461597192933738,1.1983758173912202,0.0,0.0,0.0,1.0,0.8701767072856086,1.0,1.0,1.0,1.0,0.6884240974854606,7.842768497347342,0.969619929710972,0.0,0.0,0.0,1.0,0.059207445055890595,0.0,0.0,0.0,0.0,0.1420978681341375,1.6188286955863953,0.22875588768024824,0.0,0.0,0.0,0.0
deployment,calibration,02ef12eeec9c5667,2021.08.17.14.32.33_veh-08_01262_01528,0.999188743663411,1.0,1.0,1.0,1.0,0.9980529847921866,34.29636495784878,10.335912060380354,0.0,0.0,0.0,0.0,0.9644501646969832,1.0,1.0,1.0,1.0,0.9146803952727597,30.16942025841969,8.402427565140623,0.0,0.0,0.0,0.0,0.03473857896642785,0.0,0.0,0.0,0.0,0.08337258951942694,4.126944699429089,1.93348449523973,0.0,0.0,0.0,0.0
deployment,calibration,05986621844f54a2,2021.10.05.07.10.04_veh-52_00689_01322,0.968488289612436,1.0,1.0,1.0,1.0,0.9243718950698465,21.095100729150996,7.1699447485882715,0.0,0.0,0.0,0.15625,0.9205162385762666,1.0,1.0,1.0,1.0,0.8092389725830398,18.467651095454375,6.003299609933639,0.0,0.0,0.0,1.0,0.047972051036169416,0.0,0.0,0.0,0.0,0.11513292248680673,2.627449633696621,1.1666451386546326,0.0,0.0,0.0,-0.84375
deployment,calibration,064bbfac76a95dae,2021.09.14.20.42.30_veh-45_00805_01078,1.0,1.0,1.0,1.0,1.0,1.0,10.43556657444424,4.7434989537772445,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.986722141459307,4.227910827901779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4488444329849326,0.5155881258754658,0.0,0.0,0.0,0.0
deployment,calibration,071d2ff38b4855ed,2021.07.16.22.40.23_veh-38_00016_00182,0.9291830193844923,1.0,1.0,1.0,1.0,0.8300392465227817,8.726132908711596,3.034270431585918,0.0,0.0,0.0,0.84375,0.8286624233590121,1.0,1.0,1.0,1.0,0.588789816061629,6.189897901542914,2.2011508889174602,0.0,0.0,0.0,1.0,0.10052059602548025,0.0,0.0,0.0,0.0,0.24124943046115277,2.536235007168682,0.8331195426684577,0.0,0.0,0.0,-0.15625
deployment,calibration,0996ce03d2325a75,2021.09.15.13.16.40_veh-28_00088_00157,0.9755484448140574,1.0,1.0,1.0,1.0,0.9413162675537378,43.981439151321275,11.880058326537627,0.0,0.0,0.0,0.0625,0.9082715434933861,1.0,1.0,1.0,1.0,0.7798517043841268,36.433391763566675,8.689537127414855,0.0,0.0,0.0,1.0,0.06727690132067132,0.0,0.0,0.0,0.0,0.161464563169611,7.5480473877546,3.190521199122772,0.0,0.0,0.0,-0.9375
deployment,calibration,0b2061c2aced52de,2021.09.15.11.49.23_veh-28_02024_02091,0.9992961408627969,1.0,1.0,1.0,1.0,0.9983107380707128,50.99320358803547,14.444917714534135,0.0,0.0,0.0,0.0,0.9391519383616379,1.0,1.0,1.0,1.0,0.8539646520679309,42.183807736160865,10.46292872642643,0.0,0.0,0.0,1.0,0.06014420250115904,0.0,0.0,0.0,0.0,0.14434608600278187,8.809395851874605,3.9819889881077053,0.0,0.0,0.0,-1.0
