comparison,metric,unit,baseline_mean,after_mean,mean_difference,median_difference,ci_low,ci_high,token_win_fraction,scene_win_fraction,n_tokens,n_scene_clusters,seed_protocol
a5_s300,PDMS,points,87.31108161586228,86.72412392959149,-0.5869576862707908,1.6822031876892254,-1.214829435631592,-0.011701774242439088,0.5750535508320975,0.5910224438902744,12138,1203,CRN_seed0
a5_s300,NC,percentage_points,98.08040863404185,96.07019278299556,-2.0102158510463006,0.0,-2.431106935211321,-1.6345336813599558,0.001977261492832427,0.013300083125519535,12138,1203,CRN_seed0
a5_s300,DAC,percentage_points,95.37815126050421,95.02389190970506,-0.3542593507991432,0.0,-0.7986016949152543,0.0721520361926019,0.014664689405173834,0.08063175394846218,12138,1203,CRN_seed0
a5_s300,TTC,percentage_points,94.29065743944636,89.52051408798813,-4.7701433514582305,0.0,-5.438399555203433,-4.159433350824053,0.0046959960454770145,0.025768911055694097,12138,1203,CRN_seed0
a5_s300,EP,percentage_points,82.05859564207391,86.52939237707501,4.470796735001099,4.403567174634166,3.8178993586797527,5.080002626533738,0.5986159169550173,0.7331670822942643,12138,1203,CRN_seed0
a5_s300,DDC,percentage_points,98.02685780194432,96.87345526445873,-1.1534025374855825,0.0,-1.410041700625731,-0.9024991495518473,0.0022244191794364805,0.010806317539484621,12138,1203,CRN_seed0
a5_s300,Comfort,percentage_points,99.96704564178613,99.95880705223266,-0.008238589553468446,0.0,-0.039622989062335634,0.016639108214011468,8.238589553468446e-05,0.0008312551953449709,12138,1203,CRN_seed0
a5_s300,feasible,percentage_points,87.88103476684792,82.03163618388531,-5.849398582962597,0.0,-6.650101629619125,-5.122792802249953,0.019195913659581478,0.08478802992518704,12138,1203,CRN_seed0
a5_s300,zero_score,percentage_points,6.351952545724172,8.6422804415884,2.290327895864228,0.0,1.7406643442860734,2.8887897493562162,0.03913330037897512,0.18204488778054864,12138,1203,CRN_seed0
a5_e0,PDMS,points,87.31108161586228,85.64140226452939,-1.6696793513328934,1.9412430832872687,-2.3872435759122634,-0.9777355468414066,0.5604712473224583,0.542809642560266,12138,1203,CRN_seed0
a5_e0,NC,percentage_points,98.08040863404185,95.03624979403527,-3.044158840006591,0.0,-3.5636986808945816,-2.554162301543227,0.0023891909705058495,0.01828761429758936,12138,1203,CRN_seed0
a5_e0,DAC,percentage_points,95.37815126050421,94.43071346185533,-0.9474377986488712,0.0,-1.4421960116705341,-0.5132376543416131,0.01532377656945131,0.0831255195344971,12138,1203,CRN_seed0
a5_e0,TTC,percentage_points,94.29065743944636,87.92222771461525,-6.36842972483111,0.0,-7.134751784253078,-5.596869946890237,0.0066732575383094414,0.030756442227763924,12138,1203,CRN_seed0
a5_e0,EP,percentage_points,82.05859564207391,86.55014596932382,4.491550327249906,5.615649944524454,3.692816390131705,5.279937454770066,0.5918602735211732,0.6924355777223608,12138,1203,CRN_seed0
a5_e0,DDC,percentage_points,98.02685780194432,96.76635360026363,-1.2605042016806722,0.0,-1.5527175218315337,-0.9877646121926029,0.0030482781347833253,0.013300083125519535,12138,1203,CRN_seed0
a5_e0,Comfort,percentage_points,99.96704564178613,99.94232987312573,-0.024715768660405337,0.0,-0.06801894994166122,0.016416520041122894,0.00016477179106936892,0.0016625103906899418,12138,1203,CRN_seed0
a5_e0,feasible,percentage_points,87.88103476684792,80.06261328060637,-7.818421486241556,0.0,-8.683910100366777,-6.970981526550482,0.02084363157027517,0.08146300914380715,12138,1203,CRN_seed0
a5_e0,zero_score,percentage_points,6.351952545724172,10.158180919426595,3.8062283737024223,0.0,3.1449541962774683,4.475575558323968,0.054869006426099855,0.25519534497090607,12138,1203,CRN_seed0
a5_e1,PDMS,points,87.31108161586228,87.00062384325525,-0.31045777260703006,2.2879977689568847,-1.0055500835994413,0.3601428649917628,0.5743120777722854,0.5876974231088944,12138,1203,CRN_seed0
a5_e1,NC,percentage_points,98.08040863404185,95.33283901796013,-2.7475696160817265,0.0,-3.2714771015151944,-2.281672699032871,0.002553962761575218,0.014962593516209476,12138,1203,CRN_seed0
a5_e1,DAC,percentage_points,95.37815126050421,95.34519690229033,-0.03295435821387378,0.0,-0.45492817230209204,0.35953124101802314,0.018124897017630582,0.09808811305070657,12138,1203,CRN_seed0
a5_e1,TTC,percentage_points,94.29065743944636,88.88614269237107,-5.404514747075301,0.0,-6.153846153846154,-4.671002931851649,0.007249958807052232,0.03906899418121363,12138,1203,CRN_seed0
a5_e1,EP,percentage_points,82.05859564207391,87.58524774423881,5.526652102164889,6.142091478953471,4.735904470586819,6.299067130631908,0.601581809194266,0.71571072319202,12138,1203,CRN_seed0
a5_e1,DDC,percentage_points,98.02685780194432,97.14944801449991,-0.8774097874443896,0.0,-1.1104179376094006,-0.6514549230635802,0.0045312242544076455,0.022443890274314215,12138,1203,CRN_seed0
a5_e1,Comfort,percentage_points,99.96704564178613,99.98352282089307,0.01647717910693689,0.0,-0.016018396444294345,0.05505475292838234,0.00024715768660405336,0.0024937655860349127,12138,1203,CRN_seed0
a5_e1,feasible,percentage_points,87.88103476684792,82.11402207942,-5.767012687427912,0.0,-6.648139142321228,-4.934234375381294,0.025951557093425604,0.11305070656691604,12138,1203,CRN_seed0
a5_e1,zero_score,percentage_points,6.351952545724172,8.988301202834075,2.636348657109903,0.0,2.010493509634731,3.3016539814208246,0.046218487394957986,0.2111388196176226,12138,1203,CRN_seed0
a5_e2,PDMS,points,87.31108161586228,87.66407967826864,0.35299806240636356,2.2774635773273175,-0.3159075673797539,0.9805637876507863,0.5813148788927336,0.6176226101413134,12138,1203,CRN_seed0
a5_e2,NC,percentage_points,98.08040863404185,95.8230350963915,-2.2573735376503543,0.0,-2.71919677340507,-1.8196163578890003,0.003542593507991432,0.02493765586034913,12138,1203,CRN_seed0
a5_e2,DAC,percentage_points,95.37815126050421,95.44405997693195,0.06590871642774757,0.0,-0.3751412757247557,0.4651805754141929,0.019443071346185534,0.10224438902743142,12138,1203,CRN_seed0
