comparison,n_tokens,safety_regression_fraction,safety_regression_contribution,nonregression_contribution,total_delta,worst5_contribution,zero_score_repairs,new_zero_scores,NC_repairs,NC_regressions,DAC_repairs,DAC_regressions,TTC_repairs,TTC_regressions,mean_trajectory_shift_ADE_m,mean_endpoint_x_shift_m,mean_endpoint_y_shift_m
a5_s300,12138,0.08263305322128851,-4.804797673285436,4.217839987014645,-0.5869576862707908,-3.6608489282198673,197,475,24,271,178,221,57,636,1.549748565894832,3.08741950266914,0.20944809624244679
a5_e0,12138,0.10957324106113034,-6.492655600074305,4.822976248741412,-1.6696793513328934,-4.302083994169232,204,666,29,400,186,301,81,854,2.1581975324301834,4.071112343272654,0.2450390071558253
a5_e1,12138,0.09466139396935244,-5.513980379019861,5.203522606412831,-0.31045777260703006,-3.951580135355281,241,561,31,366,220,224,88,744,2.0582291096354277,3.8759739646744267,0.26658394741648517
a5_e2,12138,0.086422804415884,-5.007988066693491,5.360986129099854,0.35299806240636356,-3.8013759366028204,266,516,43,318,236,228,102,660,1.9112983637255816,3.5618997389371794,0.1355545655185101
v6_s300,12138,0.042346350304827814,-2.2476790838700107,1.936598923578618,-0.3110801602913924,-2.2542399850607895,92,203,17,135,80,74,23,338,,,
v6_s2100,12138,0.07208765859284891,-4.069583055035251,4.0417387323536245,-0.02784432268162541,-3.3370126618413622,199,383,35,222,175,181,93,568,,,
v6_s3300,12138,0.07554786620530565,-4.309556043648615,4.152406043409106,-0.1571500002395093,-3.4457770775274374,203,413,33,256,182,176,89,608,,,
psi_300,12138,0.04712473224583951,-3.1891112716755634,3.9743021081008187,0.7851908364252557,-3.3159644576480853,417,346,113,142,326,214,303,308,,,
psi_3000,12138,0.04168726314055034,-2.8690507305668578,4.699456189099333,1.8304054585324765,-3.035417625548252,455,333,136,123,353,241,370,239,,,
psi_12000,12138,0.04803097709672104,-2.9472037813518477,5.476829697130741,2.5296259157788934,-3.0698750602230644,509,303,141,154,406,172,361,353,,,
psi_21000,12138,0.04086340418520349,-2.538184760010498,5.759728128434867,3.2215433684243693,-2.7512590472488085,540,263,144,152,432,122,407,318,,,
psi_26400,12138,0.043499752842313395,-2.623203990699003,5.581875930308557,2.958671939609554,-2.843576608964561,517,278,141,163,416,137,384,331,,,
official_1330,12138,0.042511122095897184,-2.9936727166192294,5.3079727600093465,2.314300043390117,-3.0855189772650595,500,346,106,134,411,238,318,252,,,
official_11970,12138,0.02529246992914813,-1.6112353804437831,6.080610700013581,4.469375319569798,-1.8279673701916719,571,170,132,87,461,91,378,184,,,
official_13300,12138,0.025045312242544075,-1.5702917551199604,6.169813440651712,4.599521685531751,-1.7885359324834031,589,156,138,80,474,82,422,193,,,
