token,policy,protocol,kind,trajectory_id,future_time,x,y,heading
7a0635b7942859c6,official_il,eval,rollout,0,0.5,5.889754295349121,-0.018449783325195312,0.0024352073669433594
7a0635b7942859c6,official_il,eval,rollout,0,1.0,11.627707481384277,0.021516799926757812,0.008217453956604004
7a0635b7942859c6,official_il,eval,rollout,0,1.5,17.374265670776367,0.08143234252929688,0.011654138565063477
7a0635b7942859c6,official_il,eval,rollout,0,2.0,23.16910171508789,0.1701183319091797,0.015061259269714355
7a0635b7942859c6,official_il,eval,rollout,0,2.5,28.989421844482422,0.2889270782470703,0.017673015594482422
7a0635b7942859c6,official_il,eval,rollout,0,3.0,34.82255935668945,0.39852142333984375,0.020122408866882324
7a0635b7942859c6,official_il,eval,rollout,0,3.5,40.67582321166992,0.5486679077148438,0.0196075439453125
7a0635b7942859c6,official_il,eval,rollout,0,4.0,46.422298431396484,0.6937217712402344,0.018027424812316895
7a0635b7942859c6,official_il,eval,rollout,1,0.5,5.877547740936279,0.008899688720703125,0.003170013427734375
7a0635b7942859c6,official_il,eval,rollout,1,1.0,11.587185859680176,0.017019271850585938,0.008514404296875
7a0635b7942859c6,official_il,eval,rollout,1,1.5,17.31414222717285,0.07590293884277344,0.011720895767211914
7a0635b7942859c6,official_il,eval,rollout,1,2.0,23.086984634399414,0.14962196350097656,0.015482783317565918
7a0635b7942859c6,official_il,eval,rollout,1,2.5,28.85898208618164,0.26645660400390625,0.01866316795349121
7a0635b7942859c6,official_il,eval,rollout,1,3.0,34.67841339111328,0.4008045196533203,0.021871209144592285
7a0635b7942859c6,official_il,eval,rollout,1,3.5,40.591339111328125,0.5396442413330078,0.02236926555633545
7a0635b7942859c6,official_il,eval,rollout,1,4.0,46.24991989135742,0.6896095275878906,0.020468831062316895
7a0635b7942859c6,official_il,eval,rollout,2,0.5,5.902120113372803,-0.008035659790039062,0.004165053367614746
7a0635b7942859c6,official_il,eval,rollout,2,1.0,11.589759826660156,0.03906822204589844,0.010514140129089355
7a0635b7942859c6,official_il,eval,rollout,2,1.5,17.280622482299805,0.10612106323242188,0.014675140380859375
7a0635b7942859c6,official_il,eval,rollout,2,2.0,22.964567184448242,0.20836639404296875,0.020806431770324707
7a0635b7942859c6,official_il,eval,rollout,2,2.5,28.65953826904297,0.3550701141357422,0.026659131050109863
7a0635b7942859c6,official_il,eval,rollout,2,3.0,34.4133186340332,0.5471172332763672,0.03191518783569336
7a0635b7942859c6,official_il,eval,rollout,2,3.5,40.130306243896484,0.7524127960205078,0.033875107765197754
7a0635b7942859c6,official_il,eval,rollout,2,4.0,45.80134963989258,0.9506740570068359,0.03192245960235596
7a0635b7942859c6,official_il,eval,rollout,3,0.5,5.9206438064575195,0.0075778961181640625,0.0028630495071411133
7a0635b7942859c6,official_il,eval,rollout,3,1.0,11.661649703979492,0.03108978271484375,0.009567499160766602
7a0635b7942859c6,official_il,eval,rollout,3,1.5,17.398958206176758,0.07566261291503906,0.013669967651367188
7a0635b7942859c6,official_il,eval,rollout,3,2.0,23.130525588989258,0.16843223571777344,0.01775360107421875
7a0635b7942859c6,official_il,eval,rollout,3,2.5,28.79583168029785,0.3169975280761719,0.022886991500854492
7a0635b7942859c6,official_il,eval,rollout,3,3.0,34.54155349731445,0.4733390808105469,0.028808116912841797
7a0635b7942859c6,official_il,eval,rollout,3,3.5,40.19657516479492,0.6618614196777344,0.030527114868164062
7a0635b7942859c6,official_il,eval,rollout,3,4.0,45.699424743652344,0.8638496398925781,0.03111565113067627
7a0635b7942859c6,official_il,eval,rollout,4,0.5,5.8826518058776855,-0.004726409912109375,0.0026445388793945312
7a0635b7942859c6,official_il,eval,rollout,4,1.0,11.610824584960938,0.022897720336914062,0.007731795310974121
7a0635b7942859c6,official_il,eval,rollout,4,1.5,17.40312385559082,0.04971504211425781,0.011602640151977539
7a0635b7942859c6,official_il,eval,rollout,4,2.0,23.23539161682129,0.1447887420654297,0.014932870864868164
7a0635b7942859c6,official_il,eval,rollout,4,2.5,29.036792755126953,0.2607135772705078,0.02109205722808838
7a0635b7942859c6,official_il,eval,rollout,4,3.0,34.939762115478516,0.4320087432861328,0.0233004093170166
7a0635b7942859c6,official_il,eval,rollout,4,3.5,40.767364501953125,0.574127197265625,0.02525150775909424
7a0635b7942859c6,official_il,eval,rollout,4,4.0,46.591312408447266,0.7320289611816406,0.024458646774291992
7a0635b7942859c6,official_il,eval,rollout,5,0.5,5.883013725280762,-0.015176773071289062,0.003168344497680664
7a0635b7942859c6,official_il,eval,rollout,5,1.0,11.650480270385742,0.023057937622070312,0.008948802947998047
