token,log,variant,method,pool_type,valid_unique_count,unique_parent_count,strict_count,strict_16_scene_fraction,empty_scene,insufficient_scene,candidate_PDMS,median_PDMS,min_PDMS,PDMS_gain_over_b_s,conservative_feasible_fraction,hard_safe_fraction,mean_candidate_p_B,median_candidate_p_B,P10_candidate_p_B,fraction_candidate_p_B_ge_3percent,mean_candidate_p_B_safe,mean_candidate_p_B_quality,candidate_local_gain,candidate_local_gain_median,fraction_local_gain_ge_0_5point,local_gain_defined_candidate_count,local_gain_defined_scene_count,local_gain_all_hits_descriptive,zero_hit_fraction,external_source_fraction,C_overlap_fraction,near_duplicate_representatives_0_02m,near_duplicate_representatives_0_10m,fallback_fraction,selection_optimism,sum_individual_mass,pairwise_ADE,PoolMass,GroupPoolHit,GroupPoolHit_ci_low,GroupPoolHit_ci_high,QualityMatchedPoolMass,marginal_coverage,source_GT_fraction,source_GT_structured_fraction,source_ddv2_fraction,source_drivor_fraction,source_IL_native_C_fraction,level_0_fraction,level_1_fraction,level_2_fraction,level_3_fraction,NC,DAC,EP,TTC,Comfort,DDC
23e39302332152b2,2021.09.15.14.27.22_veh-39_00038_00414,primary,score,operational,321,16,16,1,0,0,99.99975031238397,100.0,99.99600499814338,15.435078389454713,0.4375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,,1.0,1.0,0.0,16,16,0.0,0.0,0.0,0.8928573349675344,0.0,0.0,0.0,0.0291369562735084,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9999940074972152,1.0,1.0,0.46875
23e39302332152b2,2021.09.15.14.27.22_veh-39_00038_00414,primary,pareto,operational,321,16,16,1,0,0,99.99407900465368,100.0,99.905264074459,15.429407081724438,0.8125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,,1.0,1.0,0.0,16,16,0.0,0.0,0.0,0.799419379884178,0.0,0.0,0.0,0.0291369562735084,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9998578961116884,1.0,1.0,0.84375
23e39302332152b2,2021.09.15.14.27.22_veh-39_00038_00414,primary,gt_geometry,operational,321,16,16,1,0,0,95.1967284506193,95.14854534030388,94.30099506611708,10.632056527690056,0.8125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,,1.0,0.5,0.0,14,10,0.0,0.0,0.0,0.4754081457038078,0.0,0.0,0.0,0.0291369562735084,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.8847214828148634,1.0,1.0,0.875
23e39302332152b2,2021.09.15.14.27.22_veh-39_00038_00414,primary,grpo_mass_pc,operational,321,16,0,0,0,0,99.99975031238397,100.0,99.99600499814338,15.435078389454713,0.4375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,,1.0,1.0,0.0,16,16,1.0,0.0,0.0,0.8928573349675344,0.0,0.0,0.0,0.0291369562735084,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9999940074972152,1.0,1.0,0.46875
411a748874035630,2021.06.23.15.56.12_veh-16_01308_04289,primary,score,operational,321,16,16,1,0,0,100.0,100.0,100.0,19.68471154875357,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,,1.0,0.1875,0.0,16,16,0.0,0.0,0.0,2.618391873552312,0.0,0.0,0.0,0.0291369562735084,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0625,0.125,0.8125,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
411a748874035630,2021.06.23.15.56.12_veh-16_01308_04289,primary,pareto,operational,321,16,16,1,0,0,100.0,100.0,100.0,19.68471154875357,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,,1.0,0.1875,0.0,16,16,0.0,0.0,0.0,2.618391873552312,0.0,0.0,0.0,0.0291369562735084,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0625,0.125,0.8125,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
411a748874035630,2021.06.23.15.56.12_veh-16_01308_04289,primary,gt_geometry,operational,321,16,16,1,0,0,100.0,100.0,100.0,19.68471154875357,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,,1.0,0.625,0.0,16,16,0.0,0.0,0.0,1.0282078409203692,0.0,0.0,0.0,0.0291369562735084,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0625,0.375,0.25,0.3125,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
411a748874035630,2021.06.23.15.56.12_veh-16_01308_04289,primary,grpo_mass_pc,operational,321,16,0,0,0,0,100.0,100.0,100.0,19.68471154875357,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,,1.0,0.1875,0.0,16,16,1.0,0.0,0.0,2.618391873552312,0.0,0.0,0.0,0.0291369562735084,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0625,0.125,0.8125,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
79ebfc1d85bf5a51,2021.06.09.17.23.18_veh-38_00131_00294,primary,score,operational,321,16,16,1,0,0,93.06850842474272,92.93021626831391,90.64702073849996,41.2296939479305,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,,1.0,0.875,0.0,16,13,0.0,0.0,0.0,0.7535614774024616,0.0,0.0,0.0,0.0291369562735084,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.125,0.75,0.125,1.0,0.0,0.0,0.0,1.0,1.0,0.8336442021938253,1.0,1.0,1.0
79ebfc1d85bf5a51,2021.06.09.17.23.18_veh-38_00131_00294,primary,pareto,operational,321,16,16,1,0,0,71.74378997084256,58.333333333333336,56.027765789438746,19.90497549403034,0.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,,1.0,0.875,0.0,16,15,0.0,0.0,0.0,1.779362204209554,0.0,0.0,0.0,0.0291369562735084,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.3125,0.5625,0.125,1.0,0.0,0.0,0.0,1.0,1.0,0.9468509593002216,0.375,1.0,1.0
