method,token,descriptive_type,count
grpo_mass_pc,0056ae51961f5a18,low_coverage_high_quality,16
grpo_mass_pc,005a44fa33b55e7b,low_coverage_high_quality,16
grpo_mass_pc,006cbccbfae95262,low_coverage_high_quality,16
grpo_mass_pc,007505437ed45b53,low_coverage_high_quality,16
grpo_mass_pc,008a9f9434c75b99,low_coverage_high_quality,16
grpo_mass_pc,00bbc908bd5758e6,low_coverage_high_quality,16
grpo_mass_pc,01034b2411ce5ea0,low_coverage_high_quality,16
grpo_mass_pc,019cfd828c3f5b7c,low_coverage_high_quality,16
grpo_mass_pc,022fef6d66485384,low_coverage_high_quality,16
grpo_mass_pc,023664205ae95402,low_coverage_high_quality,16
grpo_mass_pc,025b2d4de25c5036,low_coverage_high_quality,16
grpo_mass_pc,0264cfbeb1705e5f,low_coverage_high_quality,16
grpo_mass_pc,02ef12eeec9c5667,low_coverage_high_quality,16
grpo_mass_pc,0354be0727e25157,low_coverage_high_quality,16
grpo_mass_pc,03925cda82c35516,low_coverage_high_quality,16
grpo_mass_pc,03d9c9a7f1655e53,low_coverage_high_quality,16
grpo_mass_pc,0424e5fd9a5c5e60,low_coverage_high_quality,16
grpo_mass_pc,046b1cc13f0d5f9d,low_coverage_high_quality,16
grpo_mass_pc,0481ff72500154f2,low_coverage_high_quality,16
grpo_mass_pc,04f77fbd6bf3505a,low_coverage_high_quality,16
grpo_mass_pc,0502652852d456e7,low_coverage_high_quality,16
grpo_mass_pc,0506b1697fb05337,low_coverage_high_quality,16
grpo_mass_pc,053ae221b0d351f5,low_coverage_high_quality,16
grpo_mass_pc,05986621844f54a2,low_coverage_high_quality,16
grpo_mass_pc,059fb1d0f20e58d6,low_coverage_high_quality,16
grpo_mass_pc,05c91985246d58a6,low_coverage_high_quality,16
grpo_mass_pc,05f01335f6e15d86,low_coverage_high_quality,16
grpo_mass_pc,063ebdc4cd7e5bd9,low_coverage_high_quality,16
grpo_mass_pc,064bbfac76a95dae,low_coverage_high_quality,16
grpo_mass_pc,06f781885ea25f20,low_coverage_high_quality,16
grpo_mass_pc,071d2ff38b4855ed,low_coverage_high_quality,16
grpo_mass_pc,0726ca723042500c,low_coverage_high_quality,16
grpo_mass_pc,073c4d0738b45047,low_coverage_high_quality,16
grpo_mass_pc,076f5a91273050e6,low_coverage_high_quality,16
grpo_mass_pc,07bd6c8c7de152a6,low_coverage_high_quality,16
grpo_mass_pc,0827c1c05e0e5596,low_coverage_high_quality,16
grpo_mass_pc,089107cd2d6354e0,low_coverage_high_quality,16
grpo_mass_pc,089b0ec6d7d35c09,low_coverage_high_quality,16
grpo_mass_pc,095453a7aea65260,low_coverage_high_quality,16
grpo_mass_pc,095770e79ccf5d82,low_coverage_high_quality,16
grpo_mass_pc,095eafbb5c8f5b02,low_coverage_high_quality,16
grpo_mass_pc,095f95bdbf1054d0,low_coverage_high_quality,16
grpo_mass_pc,09961e24208b5972,low_coverage_high_quality,16
grpo_mass_pc,0996ce03d2325a75,low_coverage_high_quality,16
grpo_mass_pc,09c3d9dbca6455e5,low_coverage_high_quality,16
grpo_mass_pc,09d7ac879b745ba7,low_coverage_high_quality,16
grpo_mass_pc,0a02ef840f2d5d8e,low_coverage_high_quality,16
grpo_mass_pc,0a76d212e8fe5898,low_coverage_high_quality,16
grpo_mass_pc,0a87bb919dbb58b6,low_coverage_high_quality,16
grpo_mass_pc,0b2061c2aced52de,low_coverage_high_quality,16
grpo_mass_pc,0b8065082f3a5b3b,low_coverage_high_quality,16
grpo_mass_pc,0b9f2aceebbf5003,low_coverage_high_quality,16
grpo_mass_pc,0bc3c50e1292529c,low_coverage_high_quality,16
grpo_mass_pc,0beb530925b9514b,low_coverage_high_quality,16
grpo_mass_pc,0c9d055f4ccc5d64,low_coverage_high_quality,16
grpo_mass_pc,0cb726068f4d5c59,low_coverage_high_quality,16
grpo_mass_pc,0d24b5cc9f005fe0,low_coverage_high_quality,16
grpo_mass_pc,0d38caf0c7c650e8,low_coverage_high_quality,16
grpo_mass_pc,0d9f56cc8fa15657,low_coverage_high_quality,16
grpo_mass_pc,0dff173b10b75b6a,low_coverage_high_quality,16
grpo_mass_pc,0ee58e583be85ffb,low_coverage_high_quality,16
grpo_mass_pc,0eea4103d56352dd,low_coverage_high_quality,16
grpo_mass_pc,0f276bab4fa85df0,low_coverage_high_quality,16
grpo_mass_pc,0f44c6e6440654d0,low_coverage_high_quality,16
grpo_mass_pc,0f54c1a676a954ce,low_coverage_high_quality,16
grpo_mass_pc,0fae6a22120d5bc2,low_coverage_high_quality,16
grpo_mass_pc,101da9987c395ba4,low_coverage_high_quality,16
grpo_mass_pc,1035d1c56f0f5ba9,low_coverage_high_quality,16
grpo_mass_pc,1090fdb8b57850f6,low_coverage_high_quality,16
grpo_mass_pc,113b14c30cc25989,low_coverage_high_quality,16
grpo_mass_pc,114a9052bd6851a2,low_coverage_high_quality,16
grpo_mass_pc,116b808c2f825f23,low_coverage_high_quality,16
grpo_mass_pc,116f3217b5875595,low_coverage_high_quality,16
grpo_mass_pc,117be7ce4bae59d9,low_coverage_high_quality,16
grpo_mass_pc,11ceee170b09535e,low_coverage_high_quality,16
grpo_mass_pc,11f415ea61f95bbb,low_coverage_high_quality,16
grpo_mass_pc,12115c5ca1215fb7,low_coverage_high_quality,16
grpo_mass_pc,121fdf5f01785268,low_coverage_high_quality,16
grpo_mass_pc,12264b570ba358e9,low_coverage_high_quality,16
grpo_mass_pc,123b77fa26425ac1,low_coverage_high_quality,16
grpo_mass_pc,1295232b65bf5f8d,low_coverage_high_quality,16
grpo_mass_pc,12ed1a1d4ae657d1,low_coverage_high_quality,16
grpo_mass_pc,13014abb5b115ee2,low_coverage_high_quality,16
grpo_mass_pc,130e725a1594571f,low_coverage_high_quality,16
grpo_mass_pc,1361ba1955125852,low_coverage_high_quality,16
grpo_mass_pc,1381f484e75c565a,low_coverage_high_quality,16
grpo_mass_pc,13f740d88bf75471,low_coverage_high_quality,16
grpo_mass_pc,14096d0f331a594a,low_coverage_high_quality,16
grpo_mass_pc,1499e758c6855a74,low_coverage_high_quality,16
grpo_mass_pc,14b505fe90ef5fb8,low_coverage_high_quality,16
grpo_mass_pc,14bd7947aab75ae6,low_coverage_high_quality,16
grpo_mass_pc,14d0749e1fc85004,low_coverage_high_quality,16
grpo_mass_pc,1514fa6cda205491,low_coverage_high_quality,16
grpo_mass_pc,1526e5b224665c7e,low_coverage_high_quality,16
grpo_mass_pc,160a7c3cbeee5f8b,low_coverage_high_quality,16
grpo_mass_pc,161154cbf4245a3d,low_coverage_high_quality,16
grpo_mass_pc,163693e2ba175db3,low_coverage_high_quality,16
grpo_mass_pc,165b4475bd6b5188,low_coverage_high_quality,16
grpo_mass_pc,1672f5b30038519f,low_coverage_high_quality,16
grpo_mass_pc,16a705e621675626,low_coverage_high_quality,16
grpo_mass_pc,16cf679d9cd35d85,low_coverage_high_quality,16
grpo_mass_pc,16ddb1838af755e3,low_coverage_high_quality,16
grpo_mass_pc,16ff52ac5d085cac,low_coverage_high_quality,16
grpo_mass_pc,172b3176b06c5658,low_coverage_high_quality,16
grpo_mass_pc,1734440b807a58ef,low_coverage_high_quality,16
grpo_mass_pc,1779dc029c945352,low_coverage_high_quality,16
grpo_mass_pc,17d296a87fb45380,low_coverage_high_quality,16
grpo_mass_pc,1819e1b106b354ad,low_coverage_high_quality,16
grpo_mass_pc,190b153cfd3b5302,low_coverage_high_quality,16
grpo_mass_pc,1971c4278e675b9d,low_coverage_high_quality,16
grpo_mass_pc,1aa0acb229945e9b,low_coverage_high_quality,16
grpo_mass_pc,1b064a029c0e513a,low_coverage_high_quality,16
grpo_mass_pc,1b1311d50d47553f,low_coverage_high_quality,16
grpo_mass_pc,1b53682e2df854e1,low_coverage_high_quality,16
grpo_mass_pc,1b7a2afa56df5d20,low_coverage_high_quality,16
grpo_mass_pc,1bf169a6aaf65858,low_coverage_high_quality,16
grpo_mass_pc,1c6a5ee8a5785b0e,low_coverage_high_quality,16
grpo_mass_pc,1cb9fa36aea25d6a,low_coverage_high_quality,16
grpo_mass_pc,1cba0de871fc5bfb,low_coverage_high_quality,16
grpo_mass_pc,1ce58516c7675036,low_coverage_high_quality,16
grpo_mass_pc,1d0a4f1f6cbd5e38,low_coverage_high_quality,16
grpo_mass_pc,1d10ae25c61f50c4,low_coverage_high_quality,16
grpo_mass_pc,1d45b9d20e9d5f92,low_coverage_high_quality,16
grpo_mass_pc,1dbae60fb78c532a,low_coverage_high_quality,16
grpo_mass_pc,1dda1a63c5735182,low_coverage_high_quality,16
grpo_mass_pc,1decf76c77be59c8,low_coverage_high_quality,16
grpo_mass_pc,1e66e2bddb1d5b49,low_coverage_high_quality,16
grpo_mass_pc,1e8cca8760da5948,low_coverage_high_quality,16
grpo_mass_pc,1ef92a1e554b567c,low_coverage_high_quality,16
grpo_mass_pc,1f22c13b337250e8,low_coverage_high_quality,16
grpo_mass_pc,1f37959067985e67,low_coverage_high_quality,16
grpo_mass_pc,1f71cdf4e4c65299,low_coverage_high_quality,16
grpo_mass_pc,1fe597d0fb1454dc,low_coverage_high_quality,16
grpo_mass_pc,21249a2d4eb25ed6,low_coverage_high_quality,16
grpo_mass_pc,21c8e0c8fe5f5495,low_coverage_high_quality,16
grpo_mass_pc,21ef5641389c54b2,low_coverage_high_quality,16
grpo_mass_pc,228bc7a51ce85114,low_coverage_high_quality,16
grpo_mass_pc,22a09b0100175b62,low_coverage_high_quality,16
grpo_mass_pc,22dddd249c8e5fe4,low_coverage_high_quality,16
grpo_mass_pc,2314cd5f97c5596c,low_coverage_high_quality,16
grpo_mass_pc,2320cdddd8465622,low_coverage_high_quality,16
