token,GT,GT_structured,ddv2,drivor,IL_native_C,raw_generation_count,raw_unique_count,emergency_batches
23e39302332152b2,1,128,64,64,64,321,321,0
411a748874035630,1,128,64,64,64,321,321,0
79ebfc1d85bf5a51,1,128,64,64,64,321,321,0
40808270ce205b83,1,128,64,64,64,321,321,0
86208267d61253c0,1,128,64,64,64,321,321,0
f8268857204e554e,1,128,64,64,64,321,321,0
1bf169a6aaf65858,1,128,64,64,64,321,321,0
3764407c90d65df3,1,128,64,64,64,321,321,0
38cfd81687975661,1,128,64,64,64,321,321,0
42e6895442ab5601,1,128,64,64,64,321,321,0
b34272d337d350d2,1,128,64,64,64,321,321,0
b23ede9a183b5b71,1,128,64,64,64,321,321,0
fff951eab9f45288,1,128,64,64,64,321,321,0
4fa9113617d254d4,1,128,64,64,64,321,321,0
988785170de957da,1,128,64,64,64,321,321,0
046b1cc13f0d5f9d,1,128,64,64,64,321,321,0
d7fbd35a0f315447,1,128,64,64,64,321,321,0
951957b841e05cfa,1,128,64,64,64,321,321,0
61db822891625c3b,1,128,64,64,64,321,321,0
759e9e451eba5b47,1,128,64,64,64,321,321,0
9c05edf9d6e85716,1,128,64,64,64,321,321,0
467bbee636b65c84,1,128,64,64,64,321,321,0
4f6409df56a85592,1,128,64,64,64,321,321,0
16ddb1838af755e3,1,128,64,64,64,321,321,0
2ce59f70a15b5ddf,1,128,64,64,64,321,321,0
461fb854eaa3583e,1,128,64,64,64,321,321,0
8b800af555d35794,1,128,64,64,64,321,321,0
2ab1b3941f7153cb,1,128,64,64,64,321,321,0
4bc510a669d8549f,1,128,64,64,64,321,321,0
3387bab95d41528a,1,128,64,64,64,321,321,0
e5acc98f52f458cc,1,128,64,64,64,321,321,0
3e9026530c475726,1,128,64,64,64,321,321,0
2ae0a44cc4de5c4a,1,128,64,64,64,321,321,0
cc94486698ff58d1,1,128,64,64,64,321,321,0
969763763ce754a4,1,128,64,64,64,321,321,0
ff6ab495a139534e,1,128,64,64,64,321,321,0
70248e0bb43a503b,1,128,64,64,64,321,321,0
2a2403c9b08b53ac,1,128,64,64,64,321,321,0
854169aa74e95251,1,128,64,64,64,321,321,0
93a9927586995095,1,128,64,64,64,321,321,0
af62d866653053f6,1,128,64,64,64,321,321,0
17d296a87fb45380,1,128,64,64,64,321,321,0
5370751917315916,1,128,64,64,64,321,321,0
adaf33e4ba555709,1,128,64,64,64,321,321,0
1aa0acb229945e9b,1,128,64,64,64,321,321,0
fad9e78a17825042,1,128,64,64,64,321,321,0
4eaf32face4b5ece,1,128,64,64,64,321,321,0
2db045daf25c5bb7,1,128,64,64,64,321,321,0
b23f3d728c08529f,1,128,64,64,64,321,321,0
dc76a771066b5553,1,128,64,64,64,321,321,0
d76b0458667c59a2,1,128,64,64,64,321,321,0
8cf3b1868b2f5262,1,128,64,64,64,321,321,0
990bd9b32e5d5f60,1,128,64,64,64,321,321,0
6320ecb991675a39,1,128,64,64,64,321,321,0
66243e185353563a,1,128,64,64,64,321,321,0
cde84b97e6505437,1,128,64,64,64,321,321,0
d968f9c81b945be1,1,128,64,64,64,321,321,0
0a87bb919dbb58b6,1,128,64,64,64,321,321,0
fe5811497ace53af,1,128,64,64,64,321,321,0
1734440b807a58ef,1,128,64,64,64,321,321,0
480434fc72d455af,1,128,64,64,64,321,321,0
cb8e247140d55ab2,1,128,64,64,64,321,321,0
095770e79ccf5d82,1,128,64,64,64,321,321,0
d7f25a0ac141583a,1,128,64,64,64,321,321,0
4b0df2804f165dda,1,128,64,64,64,321,321,0
ab6ba1da1dd8592b,1,128,64,64,64,321,321,0
3feb7781f83754a7,1,128,64,64,64,321,321,0
6f471ee76c595c92,1,128,64,64,64,321,321,0
32516745ea1b59ef,1,128,64,64,64,321,321,0
a65dd6d24f575771,1,128,64,64,64,321,321,0
9ce305abb88f5ad0,1,128,64,64,64,321,321,0
7af6867add5b5f2c,1,128,64,64,64,321,321,0
b65e09c4d8125da0,1,128,64,64,64,321,321,0
cbe1e93e188f5490,1,128,64,64,64,321,321,0
6ca6a1a4f3dc5d85,1,128,64,64,64,321,321,0
0ee58e583be85ffb,1,128,64,64,64,321,321,0
a28a2771a9fa5c1d,1,128,64,64,64,321,321,0
488e4248a8985e5a,1,128,64,64,64,321,321,0
0beb530925b9514b,1,128,64,64,64,321,321,0
29b53c57c19b57fe,1,128,64,64,64,321,321,0
2639525675535145,1,128,64,64,64,321,321,0
9a83782a2cf85611,1,128,64,64,64,321,321,0
cd01f21ff39d541a,1,128,64,64,64,321,321,0
facaaf8c0e8c5c65,1,128,64,64,64,321,321,0
88757fb00fda507b,1,128,64,64,64,321,321,0
e9f4daa7d910568c,1,128,64,64,64,321,321,0
d6bb0cea4dbd5b44,1,128,64,64,64,321,321,0
efad2708409b5834,1,128,64,64,64,321,321,0
3a4cfdd4bfa55a5e,1,128,64,64,64,321,321,0
e926ec6a69cc575c,1,128,64,64,64,321,321,0
