token,pair_id,side,raw_index,loss,near_region,exact_source,PDMS_gap,gradient_norm,reference_norm,cosine,dot,predicted_delta_L_ref
68f3beae8cd25dba,primary:68f3beae8cd25dba:129:133,near,129,0.0006692559691146016,boundary,Bridge-0.4_mts_8692,0.0688494256262401,0.4475152790546417,0.2165636122226715,-0.39277654320562544,-0.03806614503264427,3.8066145032644273e-07
68f3beae8cd25dba,primary:68f3beae8cd25dba:129:133,far,133,0.0006219903298188001,boundary,Bridge-0.4_mts_8692,0.0688494256262401,0.4396187365055084,0.2165636122226715,-0.8626224530915876,-0.08212633430957794,8.212633430957795e-07
68f3beae8cd25dba,primary:68f3beae8cd25dba:34:63,near,34,1.3609365396405337e-05,boundary,IL-native,0.0470076366016485,0.07954404503107071,0.2165636122226715,0.6097497814138682,0.010503760538995266,-1.0503760538995267e-07
68f3beae8cd25dba,primary:68f3beae8cd25dba:34:63,far,63,1.0161738828173839e-05,boundary,IL-native,0.0470076366016485,0.06341653317213058,0.2165636122226715,0.37967166490566295,0.005214301869273186,-5.214301869273186e-08
fead2572a884512c,primary:fead2572a884512c:34:60,near,34,3.441174158069771e-05,boundary,IL-native,0.0,0.04429353028535843,0.026621844619512558,0.3344402989056341,0.00039436380029655993,-3.9436380029656e-09
fead2572a884512c,primary:fead2572a884512c:34:60,far,60,0.00016243790014414117,boundary,IL-native,0.0,0.17073780298233032,0.026621844619512558,0.23716532138156002,0.0010780006414279342,-1.0780006414279343e-08
c7009bf1a2025be7,primary:c7009bf1a2025be7:34:58,near,34,0.0001012642005662201,boundary,IL-native,0.0774231534111891,0.21364669501781464,0.03955062851309776,0.7461816880851367,0.00630513159558177,-6.305131595581771e-08
c7009bf1a2025be7,primary:c7009bf1a2025be7:34:58,far,58,0.00018484192696632817,boundary,IL-native,0.0774231534111891,0.30450430512428284,0.03955062851309776,0.7013549939278538,0.008446654304862022,-8.446654304862023e-08
6ca255559e0350a5,primary:6ca255559e0350a5:46:49,near,46,1.8437493963574525e-05,boundary,IL-native,0.0160876387634942,0.062226809561252594,1.5468546152114868,0.1549442815701762,0.01491429004818201,-1.4914290048182012e-07
6ca255559e0350a5,primary:6ca255559e0350a5:46:49,far,49,1.9214265194023028e-05,boundary,IL-native,0.0160876387634942,0.058569516986608505,1.5468546152114868,0.9192221780414612,0.08328017592430115,-8.328017592430115e-07
6ca255559e0350a5,primary:6ca255559e0350a5:156:148,near,156,3.922074165529921e-05,boundary,Bridge-0.2_mts_8751,0.1453080551630705,0.07010123878717422,1.5468546152114868,0.9538027773357852,0.1034269630908966,-1.0342696309089662e-06
6ca255559e0350a5,primary:6ca255559e0350a5:156:148,far,148,5.5340024118777364e-05,boundary,Bridge-0.2_mts_8751,0.1453080551630705,0.09596271067857742,1.5468546152114868,0.8344370429288247,0.12386413663625717,-1.2386413663625718e-06
a3d8003852145a71,primary:a3d8003852145a71:35:48,near,35,4.450974665815011e-05,boundary,IL-native,0.0,0.10168494284152985,0.14554360508918762,0.8963487411644029,0.013265596702694893,-1.3265596702694894e-07
