run,token,split,old_high_quality_far,promoted_count,newly_eligible_count,frontier_promotion_rate,newly_eligible_PC_rate,current_reference_PDMS,old_reference_PDMS,current_reference_gain
sft_final_seed1701,23e39302332152b2,train,48,0,0,0.0,0.0,92.69021898567757,92.8891759621473,-0.19895697646973076
sft_final_seed1701,411a748874035630,train,141,2,2,0.014184397163120567,0.014184397163120567,100.0,100.0,0.0
sft_final_seed1701,79ebfc1d85bf5a51,holdout,48,0,0,0.0,0.0,83.05564565965207,83.16571132375051,-0.11006566409844254
sft_final_seed1701,40808270ce205b83,train,48,0,0,0.0,0.0,95.71526413003119,95.44716148216695,0.26810264786423943
sft_final_seed1701,86208267d61253c0,holdout,158,2,2,0.012658227848101266,0.012658227848101266,100.0,100.0,0.0
sft_final_seed1701,f8268857204e554e,train,48,0,0,0.0,0.0,90.46634963715263,90.48191604447977,-0.015566407327142429
sft_final_seed1701,1bf169a6aaf65858,train,156,20,20,0.1282051282051282,0.1282051282051282,100.0,100.0,0.0
sft_final_seed1701,3764407c90d65df3,train,32,0,0,0.0,0.0,87.16620045248477,87.61459484082175,-0.448394388336979
sft_final_seed1701,38cfd81687975661,holdout,48,0,0,0.0,0.0,94.45678468728102,94.47091355215278,-0.01412886487176479
sft_final_seed1701,42e6895442ab5601,holdout,150,0,0,0.0,0.0,100.0,100.0,0.0
sft_final_seed1701,b34272d337d350d2,train,48,0,0,0.0,0.0,81.57180070768875,80.07652241049671,1.4952782971920442
sft_final_seed1701,b23ede9a183b5b71,holdout,48,0,0,0.0,0.0,89.42215553267694,89.26203427896401,0.16012125371292996
sft_final_seed1701,fff951eab9f45288,train,48,0,0,0.0,0.0,90.68135736484427,90.51744566199224,0.16391170285203316
sft_final_seed1701,4fa9113617d254d4,train,155,0,0,0.0,0.0,100.0,100.0,0.0
sft_final_seed1701,988785170de957da,train,47,0,0,0.0,0.0,92.77937850795706,92.67419609084918,0.10518241710788345
sft_final_seed1701,046b1cc13f0d5f9d,holdout,160,0,0,0.0,0.0,100.0,100.0,0.0
sft_final_seed1701,d7fbd35a0f315447,train,48,0,0,0.0,0.0,96.53323460229929,96.42541019650483,0.10782440579446018
sft_final_seed1701,951957b841e05cfa,train,30,0,0,0.0,0.0,87.92349729929731,87.56367288596931,0.3598244133279991
sft_final_seed1701,61db822891625c3b,train,45,0,0,0.0,0.0,91.35008144874041,91.35446961991744,-0.004388171177026834
sft_final_seed1701,759e9e451eba5b47,train,50,0,0,0.0,0.0,97.05627872727585,96.20376753661039,0.8525111906654672
sft_final_seed1701,9c05edf9d6e85716,train,48,0,0,0.0,0.0,89.42391947949085,89.37431627217875,0.04960320731210288
sft_final_seed1701,467bbee636b65c84,train,48,0,0,0.0,0.0,88.36214861402215,87.76623070555948,0.5959179084626669
sft_final_seed1701,4f6409df56a85592,train,41,0,0,0.0,0.0,84.95792463262445,85.04486081438507,-0.08693618176062046
sft_final_seed1701,16ddb1838af755e3,train,48,0,0,0.0,0.0,84.55851796132961,83.55521090470216,1.003307056627449
sft_final_seed1701,2ce59f70a15b5ddf,train,159,0,0,0.0,0.0,100.0,100.0,0.0
sft_final_seed1701,461fb854eaa3583e,train,143,3,3,0.02097902097902098,0.02097902097902098,100.0,100.0,0.0
sft_final_seed1701,8b800af555d35794,holdout,145,1,1,0.006896551724137931,0.006896551724137931,100.0,100.0,0.0
sft_final_seed1701,2ab1b3941f7153cb,holdout,48,0,0,0.0,0.0,94.83870934580459,94.940702255143,-0.10199290933840643
sft_final_seed1701,4bc510a669d8549f,holdout,39,1,0,0.02564102564102564,0.0,99.90184265561038,57.89817090840405,42.00367174720633
sft_final_seed1701,3387bab95d41528a,holdout,156,0,0,0.0,0.0,99.66992333042013,100.0,-0.33007666957986714
sft_final_seed1701,e5acc98f52f458cc,holdout,48,0,0,0.0,0.0,96.14318803435603,96.70243625223455,-0.559248217878519
sft_final_seed1701,3e9026530c475726,train,48,0,0,0.0,0.0,96.58221162418069,96.2850019937556,0.29720963042508686
