token,eligible,global_front2,conditional_front2
23e39302332152b2,60,0,2
411a748874035630,28,28,28
79ebfc1d85bf5a51,32,0,2
40808270ce205b83,30,0,2
86208267d61253c0,34,33,33
f8268857204e554e,31,0,2
1bf169a6aaf65858,35,35,35
3764407c90d65df3,34,0,2
38cfd81687975661,36,0,2
42e6895442ab5601,32,32,32
b34272d337d350d2,29,0,2
b23ede9a183b5b71,29,0,2
fff951eab9f45288,71,0,2
4fa9113617d254d4,37,37,37
988785170de957da,34,0,2
046b1cc13f0d5f9d,32,32,32
d7fbd35a0f315447,33,0,2
951957b841e05cfa,30,0,2
61db822891625c3b,28,0,2
759e9e451eba5b47,42,0,2
9c05edf9d6e85716,33,0,2
467bbee636b65c84,26,0,2
4f6409df56a85592,26,1,2
16ddb1838af755e3,45,0,2
2ce59f70a15b5ddf,33,33,33
461fb854eaa3583e,32,32,32
8b800af555d35794,41,41,41
2ab1b3941f7153cb,48,0,2
4bc510a669d8549f,10,3,3
3387bab95d41528a,30,22,22
e5acc98f52f458cc,36,0,2
3e9026530c475726,30,0,2
2ae0a44cc4de5c4a,41,41,41
cc94486698ff58d1,40,0,2
969763763ce754a4,32,32,32
ff6ab495a139534e,31,0,2
70248e0bb43a503b,43,43,43
2a2403c9b08b53ac,36,0,2
854169aa74e95251,28,0,2
93a9927586995095,30,30,30
af62d866653053f6,28,0,2
17d296a87fb45380,38,0,2
5370751917315916,30,30,30
adaf33e4ba555709,27,0,2
1aa0acb229945e9b,31,0,2
fad9e78a17825042,27,0,2
4eaf32face4b5ece,30,30,30
2db045daf25c5bb7,30,0,2
b23f3d728c08529f,53,53,53
dc76a771066b5553,31,0,2
d76b0458667c59a2,31,31,31
8cf3b1868b2f5262,28,7,8
990bd9b32e5d5f60,39,1,2
6320ecb991675a39,30,0,2
66243e185353563a,29,0,2
cde84b97e6505437,32,0,2
d968f9c81b945be1,42,42,42
0a87bb919dbb58b6,30,0,2
fe5811497ace53af,37,0,2
1734440b807a58ef,30,0,2
480434fc72d455af,0,0,0
cb8e247140d55ab2,36,0,2
095770e79ccf5d82,34,34,34
d7f25a0ac141583a,32,0,2
4b0df2804f165dda,70,0,2
ab6ba1da1dd8592b,26,7,7
3feb7781f83754a7,31,31,31
6f471ee76c595c92,49,49,49
32516745ea1b59ef,43,1,2
a65dd6d24f575771,30,0,2
9ce305abb88f5ad0,31,0,2
7af6867add5b5f2c,32,0,2
b65e09c4d8125da0,29,0,2
cbe1e93e188f5490,37,2,2
6ca6a1a4f3dc5d85,26,0,2
0ee58e583be85ffb,65,0,2
a28a2771a9fa5c1d,33,33,33
488e4248a8985e5a,31,31,31
0beb530925b9514b,45,45,45
29b53c57c19b57fe,35,0,2
2639525675535145,48,34,34
9a83782a2cf85611,40,0,2
cd01f21ff39d541a,31,31,31
facaaf8c0e8c5c65,29,29,29
88757fb00fda507b,29,0,2
e9f4daa7d910568c,31,0,2
d6bb0cea4dbd5b44,30,0,2
efad2708409b5834,30,30,30
3a4cfdd4bfa55a5e,31,0,2
e926ec6a69cc575c,35,0,2
b6093d9c703e54b1,30,30,30
d58eb13402485ae7,30,30,30
f1aa5d5ed7c65114,33,0,2
4ea3d4068eda5cc5,32,0,2
6c0dbda0d8e45ae9,56,56,56
b4322d76ebf8569f,31,0,2
acfc271e3c3d58fa,30,0,2
b222df74b8155735,40,0,2
415d6cd62f3b5c1c,30,30,30
b28e9b2fa67452a7,34,0,2
bd8dea7f7efc5343,34,0,2
8224627048195e4f,31,0,2
3225bfcbea245dd7,48,48,48
114a9052bd6851a2,38,0,2
f80fe289f8135602,35,0,2
983b7ed08a4b5a88,36,36,36
34dd4c6fb6245b9a,28,2,2
5895d1e3cb355fb9,33,0,2
14b505fe90ef5fb8,31,31,31
1ce58516c7675036,0,0,0
b1e88b8722105d53,31,1,2
410fac99463459e6,32,32,32
5207306ed1a05de8,31,31,31
8ba3bff293265674,36,20,20
69560676d53a56c9,32,0,2
cef0adbb58ad5ca1,30,0,2
c5dcabed55395a6e,31,0,2
8b839595c4105c65,34,34,34
f32a0e56a5b75884,3,3,3
972eb434cfd159e8,32,1,2
505c44ea52485f9d,38,0,2
c0b07b38110a556f,30,30,30
7fe310f364355e2d,29,0,2
efdd48896e7a5f15,38,0,2
e47d448a999b5595,34,0,2
6c0b6e4fdf005a81,37,34,34
071d2ff38b4855ed,37,0,2
b450f88783c15dea,47,0,2
7b3902956ebc561d,40,40,40
dc73cea57e105ebd,29,0,2
b87bd020396b5670,32,32,32
ba1a894e5a6350d2,38,0,2
ddbfb3b2a05c5918,31,31,31
a93ffd0f36b65714,48,48,48
2b2663b56a6555a2,5,5,5
f9b32e71bedb5996,25,0,2
886df3cce3a95a83,28,0,2
160a7c3cbeee5f8b,27,27,27
24fab0f19fd35cd6,30,2,2
b63b325909a058c9,30,0,2
9b500f26b0f8560e,36,36,36
c9ba785129c35b36,41,0,2
aac1853286fb586a,31,0,2
022fef6d66485384,59,0,2
51480b09db315e89,33,1,2
5d3ce016a8a256cf,31,0,2
60691b9dd3355992,38,0,2
0056ae51961f5a18,51,51,51
80d5ce364722516b,0,0,0
f0ff3b146af85463,27,0,2
6f2a7bf7cf275dd3,29,29,29
1090fdb8b57850f6,37,0,2
a3fa79234a9d5d7d,33,33,33
36c6cbf6c8a25415,49,0,2
8fe647ed2b7a5aee,36,16,17
5abdbfe1845e59c5,44,0,2
4af11dadd34359fe,32,32,32
ad25b37aaad95a6b,36,0,2
d5201097ad6e5d67,42,0,2
f96a48c3bcd45c50,32,25,25
3f36d5316f0d5a94,29,29,29
b6bba53a1bef520e,31,0,2
7b840b044a6a5e8d,31,0,2
22a09b0100175b62,29,29,29
39fd3f2e5f005306,31,31,31
497e7be0400158a9,29,0,2
6a53dd2411825857,29,0,2
fb9dcf5b46d65616,54,0,2
39fe00229f7b5ac4,31,0,3
63dcb963cece5b7d,31,0,2
88f9b4f87b6b5bd5,32,0,2
90f5bf5743cf5df0,30,0,2
52caccf1b3b95e4e,36,0,2
1b064a029c0e513a,32,0,2
50790f7ba9405c67,41,41,41
0bc3c50e1292529c,72,72,72
ad906e8bb5375747,32,0,2
0a76d212e8fe5898,30,0,2
77d96cb44005501c,27,0,2
12ed1a1d4ae657d1,36,0,2
a3e94bd829b75673,31,0,2
d7d94b48775a52d4,39,39,39
7640be138ae05408,43,43,43
f82c33508e915106,33,33,33
3138ce4847ee5007,29,0,2
25822d3d04305af8,32,32,32
ba642ba3c9a65fe7,43,0,2
