method,step,token,PDMS,feasible_rate,hard_failure,zero_score_rate,EP,NC,DAC,TTC,DDC,pairwise_ADE,Spread_AUC,spread_ratio_IL,center_shift,mean_center_shift,CRN_policy_change_ADE,D_positive,positive_count,IL_retention_loss,candidate_fitting_loss,Hit1,Hit8,Hit16,Hit64
conditional_pc,0,046b1cc13f0d5f9d,100.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.12543453304092966,0.11101611278815504,1.0,0.0,0.0,0.0,0.0,0.0,0.0002468399959667522,0.0003717589132676835,0.0,0.0,0.0,0.0
conditional_pc,0,053ae221b0d351f5,84.18111981943295,1.0,0.0,0.0,0.620346875666391,1.0,1.0,1.0,1.0,0.12665235729203322,0.10586948947926136,1.0,0.0,0.0,0.0,0.11892281472682953,58.0,0.0018379788631648353,0.002385126908819757,0.390625,0.9860999888425317,0.9999228061788866,1.0
conditional_pc,0,05f01335f6e15d86,98.2265580059001,1.0,0.0,0.0,0.9574373921416024,1.0,1.0,1.0,1.0,0.16070841198320204,0.13385062046982063,1.0,0.0,0.0,0.0,0.1355249285697937,51.0,0.00023775098257772243,0.00030796286904433146,0.421875,0.9912773209335725,0.9999736436751124,1.0
conditional_pc,0,06f781885ea25f20,96.30352986376181,1.0,0.0,0.0,0.9112847167302831,1.0,1.0,1.0,1.0,0.11063103094208296,0.0926061680058,1.0,0.0,0.0,0.0,0.0801062136888504,48.0,0.0003667892336238765,0.0003196603189223879,0.0,0.0,0.0,0.0
conditional_pc,0,071d2ff38b4855ed,83.66453519928736,1.0,0.0,0.0,0.6079488447828965,1.0,1.0,1.0,1.0,0.10983225418030976,0.09413777093985425,1.0,0.0,0.0,0.0,0.09233544766902924,49.0,0.0020330335821654444,0.0010448546252916913,0.265625,0.9289548697675319,0.9969229278981332,1.0
conditional_pc,0,076f5a91273050e6,100.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.14148313151403044,0.11732402019397006,1.0,0.0,0.0,0.0,0.0,0.0,0.0014356569546549736,0.0014638935933817265,0.0,0.0,0.0,0.0
conditional_pc,0,07bd6c8c7de152a6,100.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.16784369665480336,0.14545803217593153,1.0,0.0,0.0,0.0,0.0,0.0,0.0003853461689402593,0.00038961517674351853,0.0,0.0,0.0,0.0
conditional_pc,0,0827c1c05e0e5596,65.49479166666667,0.171875,0.0,0.0,1.0,1.0,1.0,0.171875,1.0,0.15910384930193228,0.1348176457867556,1.0,0.0,0.0,0.0,0.15900206565856934,11.0,0.0012402014079810897,0.0016048002692059526,0.171875,0.7997538193200195,0.9696135979784942,1.0
conditional_pc,0,089107cd2d6354e0,100.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.1250549305642232,0.10290590976517697,1.0,0.0,0.0,0.0,0.0,0.0,0.00039473675180090595,0.0005271861162654545,0.0,0.0,0.0,0.0
conditional_pc,0,089b0ec6d7d35c09,100.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.16737022481876754,0.13514784117639733,1.0,0.0,0.0,0.0,0.0,0.0,0.0007493590900864433,0.0009736274984604165,0.0,0.0,0.0,0.0
conditional_pc,0,095eafbb5c8f5b02,91.67626452352093,1.0,0.0,0.0,0.8002303485645024,1.0,1.0,1.0,1.0,0.1375020996793212,0.11443419723025139,1.0,0.0,0.0,0.0,0.11907599121332169,32.0,0.002025237645909783,0.0020452013355054532,0.109375,0.6266719976288062,0.8814759290755898,1.0
conditional_pc,0,09c3d9dbca6455e5,100.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.1553056459936461,0.13605175996717078,1.0,0.0,0.0,0.0,0.0,0.0,0.0004897073058458545,0.00030502113501285066,0.0,0.0,0.0,0.0
conditional_pc,0,0a02ef840f2d5d8e,94.53423080796503,1.0,0.0,0.0,0.8688215393911609,1.0,1.0,1.0,1.0,0.1711663973799026,0.14945603637352356,1.0,0.0,0.0,0.0,0.13937009871006012,51.0,0.0018359735838160418,0.001335566199948346,0.171875,0.7997538193200195,0.9696135979784942,1.0
conditional_pc,0,0a87bb919dbb58b6,96.11099720487097,1.0,0.0,0.0,0.9066639329169034,1.0,1.0,1.0,1.0,0.0980877517682675,0.08488396213518071,1.0,0.0,0.0,0.0,0.07087745517492294,47.0,0.0010011134807683675,0.0013962958597559805,0.0,0.0,0.0,0.0
conditional_pc,0,0b9f2aceebbf5003,100.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.1206467149346087,0.09941389772447834,1.0,0.0,0.0,0.0,0.0,0.0,0.0004019386753384424,0.00042274300022171474,0.0,0.0,0.0,0.0
conditional_pc,0,0eea4103d56352dd,100.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.10393116658982546,0.08684904700822574,1.0,0.0,0.0,0.0,0.0,0.0,0.0006294865616354173,0.0005317203999197773,0.0,0.0,0.0,0.0
conditional_pc,0,12115c5ca1215fb7,92.5821552986075,1.0,0.0,0.0,0.8219717271665801,1.0,1.0,1.0,1.0,0.14030674965054074,0.11916412052600633,1.0,0.0,0.0,0.0,0.11519863456487656,44.0,0.0005276102683211548,0.000693978659242589,0.0,0.0,0.0,0.0
conditional_pc,0,121fdf5f01785268,75.39287568357658,1.0,0.0,0.0,0.4094290164058379,1.0,1.0,1.0,1.0,0.11487701386753917,0.10062870303582813,1.0,0.0,0.0,0.0,0.09572862833738327,47.0,0.0010265174535959432,0.0011046007488104692,0.40625,0.9889512731825252,0.9999544754388305,1.0
