token,split,old_high_quality_far,null_promoted_count,null_promotion_rate,null_newly_eligible_rate
23e39302332152b2,train,48,0,0.0,0.0
411a748874035630,train,141,3,0.02127659574468085,0.02127659574468085
79ebfc1d85bf5a51,holdout,48,0,0.0,0.0
40808270ce205b83,train,48,0,0.0,0.0
86208267d61253c0,holdout,158,0,0.0,0.0
f8268857204e554e,train,48,0,0.0,0.0
1bf169a6aaf65858,train,156,9,0.057692307692307696,0.057692307692307696
3764407c90d65df3,train,32,0,0.0,0.0
38cfd81687975661,holdout,48,0,0.0,0.0
42e6895442ab5601,holdout,150,0,0.0,0.0
b34272d337d350d2,train,48,0,0.0,0.0
b23ede9a183b5b71,holdout,48,0,0.0,0.0
fff951eab9f45288,train,48,0,0.0,0.0
4fa9113617d254d4,train,155,1,0.0064516129032258064,0.0064516129032258064
988785170de957da,train,47,0,0.0,0.0
046b1cc13f0d5f9d,holdout,160,0,0.0,0.0
d7fbd35a0f315447,train,48,0,0.0,0.0
951957b841e05cfa,train,30,0,0.0,0.0
61db822891625c3b,train,45,0,0.0,0.0
759e9e451eba5b47,train,50,0,0.0,0.0
9c05edf9d6e85716,train,48,0,0.0,0.0
467bbee636b65c84,train,48,0,0.0,0.0
4f6409df56a85592,train,41,1,0.024390243902439025,0.024390243902439025
16ddb1838af755e3,train,48,0,0.0,0.0
2ce59f70a15b5ddf,train,159,0,0.0,0.0
461fb854eaa3583e,train,143,2,0.013986013986013986,0.013986013986013986
8b800af555d35794,holdout,145,1,0.006896551724137931,0.006896551724137931
2ab1b3941f7153cb,holdout,48,0,0.0,0.0
4bc510a669d8549f,holdout,39,2,0.05128205128205128,0.05128205128205128
3387bab95d41528a,holdout,156,2,0.01282051282051282,0.01282051282051282
e5acc98f52f458cc,holdout,48,0,0.0,0.0
3e9026530c475726,train,48,0,0.0,0.0
2ae0a44cc4de5c4a,train,127,2,0.015748031496062992,0.015748031496062992
cc94486698ff58d1,holdout,48,0,0.0,0.0
969763763ce754a4,train,160,1,0.00625,0.00625
ff6ab495a139534e,train,48,0,0.0,0.0
70248e0bb43a503b,train,149,11,0.0738255033557047,0.0738255033557047
2a2403c9b08b53ac,holdout,37,0,0.0,0.0
854169aa74e95251,train,20,0,0.0,0.0
93a9927586995095,train,162,0,0.0,0.0
af62d866653053f6,train,48,0,0.0,0.0
17d296a87fb45380,train,48,0,0.0,0.0
5370751917315916,train,162,1,0.006172839506172839,0.006172839506172839
adaf33e4ba555709,train,21,3,0.14285714285714285,0.09523809523809523
1aa0acb229945e9b,train,48,0,0.0,0.0
fad9e78a17825042,holdout,48,0,0.0,0.0
4eaf32face4b5ece,train,161,0,0.0,0.0
2db045daf25c5bb7,train,48,0,0.0,0.0
b23f3d728c08529f,holdout,139,5,0.03597122302158273,0.03597122302158273
dc76a771066b5553,holdout,48,0,0.0,0.0
