model,token,log,teacher_PDMS_weighted,teacher_feasible_weighted,teacher_best_PDMS,teacher_GT_PDMS,GT_in_selected_support,teacher_best_gain_over_GT,teacher_nonGT_PDMS,teacher_weighted_GT_distance,shift_teacher_cosine,output_to_weighted_teacher_center,il_to_weighted_teacher_center,official_il_teacher_nearest_ADE_weighted,official_il_teacher_mass_covered_0.25,official_il_nonGT_mass_covered_0.25,official_il_teacher_mass_covered_0.5,official_il_nonGT_mass_covered_0.5,official_il_teacher_mass_covered_1.0,official_il_nonGT_mass_covered_1.0,mts_8692_teacher_nearest_ADE_weighted,mts_8692_teacher_mass_covered_0.25,mts_8692_nonGT_mass_covered_0.25,mts_8692_teacher_mass_covered_0.5,mts_8692_nonGT_mass_covered_0.5,mts_8692_teacher_mass_covered_1.0,mts_8692_nonGT_mass_covered_1.0,mts_8751_teacher_nearest_ADE_weighted,mts_8751_teacher_mass_covered_0.25,mts_8751_nonGT_mass_covered_0.25,mts_8751_teacher_mass_covered_0.5,mts_8751_nonGT_mass_covered_0.5,mts_8751_teacher_mass_covered_1.0,mts_8751_nonGT_mass_covered_1.0,raw_count,support_count,unique_support_count,positive_weight_count,non_gt_count,nominal_GT_mass,expected_GT_mass_pre_budget,beta,scene_weight,target_ESS,weighted_pair_ADE,unweighted_pair_ADE,gt_archive_ADE
mts_8692,23e39302332152b2,2021.09.15.14.27.22_veh-39_00038_00414,93.18552589165937,1.0,94.6143489529347,93.68999632205892,True,0.9243526308757688,92.68105624303767,0.5102839613403602,0.3611472220642639,0.1701499645971555,0.1481434343019193,0.4216383736732593,0.5,0.0,0.6734693795442581,0.3469387590885162,0.8418367356061935,0.6836734712123871,0.4869932987561441,0.5,0.0,0.5,0.0,0.8418367356061935,0.6836734712123871,,,,,,,,43,4,4,4,3,0.5,0.5,0.5,1.0,2.9989073085560083,0.7984295795562444,1.3901407285806735,2.645390669826079e-07
mts_8751,23e39302332152b2,2021.09.15.14.27.22_veh-39_00038_00414,93.82394424503538,0.9999999999999992,96.71869483687658,93.68999632205892,True,3.0286985148176404,95.0548777145009,0.1157338473962392,0.972306562344965,0.06596816367983,0.2235519602895628,0.1864542552028855,0.9018606094471412,0.0,0.9092829401651316,0.075630495320762,0.9839316034492828,0.8362696521733322,,,,,,,,0.1684196334644542,0.9018606094471412,0.0,0.9092829401651316,0.075630495320762,0.9245163339093492,0.2308525081985882,25,9,9,9,8,0.79133373,0.9018606094471412,0.2326793074607849,1.0855162143707275,1.2261254881297876,0.2152629418808669,0.974958676500342,2.645390669826079e-07
mts_8692,411a748874035630,2021.06.23.15.56.12_veh-16_01308_04289,100.0,1.0,100.0,100.0,True,0.0,100.0,0.6165236326382364,0.5954009412160749,0.3239173408644131,0.3837368455966134,0.632423445303803,0.0,0.0,0.5,0.0,0.7960526347160339,0.5921052694320679,0.4639767490579671,0.7960526347160339,0.5921052694320679,0.7960526347160339,0.5921052694320679,0.7960526347160339,0.5921052694320679,,,,,,,,43,3,3,3,2,0.5,0.5,0.5,1.0,2.6368407982874977,0.918394944862128,1.66804285143204,3.629325094199798e-07
mts_8751,411a748874035630,2021.06.23.15.56.12_veh-16_01308_04289,99.99999999999976,0.9999999999999972,100.0,100.0,True,0.0,100.0,0.0443223289985839,0.5858824436102861,0.3385358106811534,0.3985925527970943,0.28579048151253,0.009999373628769,0.2029071207750446,0.9670244616824116,0.3308609334510703,0.9999999999999972,1.0,,,,,,,,0.263971743557833,0.9528664460830558,0.0435667200527144,0.9628658197118248,0.2464738408277591,0.99143228348468,0.826144041188923,24,12,12,12,11,0.8438791,0.950719454346526,0.1658683717250824,1.0,1.106060816555128,0.0863385748727832,0.9502173904732744,3.629325094199798e-07
mts_8692,79ebfc1d85bf5a51,2021.06.09.17.23.18_veh-38_00131_00294,85.0892929311186,1.0,89.71941654486875,80.45916924423152,True,9.260247300637223,89.71941654486875,0.71383400624826,-0.2522926122464626,0.6624170790654311,0.1345075174964583,0.5454829658509246,0.0,0.0,0.0,0.0,1.0,1.0,0.2582361591037979,0.5,0.0,1.0,1.0,1.0,1.0,,,,,,,,43,2,2,2,1,0.5,0.5,0.5,1.0,2.0,0.7138339983041497,1.4276679966082997,7.189198391436125e-08
mts_8751,79ebfc1d85bf5a51,2021.06.09.17.23.18_veh-38_00131_00294,83.66760798021186,0.9999999999999994,96.4217039444852,80.45916924423152,True,15.96253470025366,94.2168187549072,0.5348225439920756,0.9490910021854932,0.5650234105353218,0.1870535729579294,0.7330946283897978,0.0358177733587153,0.1535850989483188,0.0358177733587153,0.1535850989483188,0.823587419950671,0.2435503097511325,,,,,,,,0.500288452326221,0.7667887470595828,0.0,0.7841016735208297,0.0742370972367709,0.802606520418298,0.1535850989483188,28,7,7,7,6,0.6500255,0.7667887470595828,0.4000000059604645,1.4507068395614624,1.6577608852848846,0.8655429314489538,1.403301449911352,7.189198391436125e-08
mts_8692,40808270ce205b83,2021.08.24.14.35.46_veh-45_01568_01663,94.18847931740422,1.0,94.94633991109797,94.66077813902471,True,0.2855617720732284,93.7161793801538,0.5000167467292566,0.9842710540300706,0.3640025935506072,0.4615804324820601,0.6023068294995069,0.0,0.0,0.5,0.0,0.8316326439380646,0.663265287876129,0.5608877221966437,0.5,0.0,0.6683673560619354,0.3367347121238708,0.8418367356061935,0.6836734712123871,,,,,,,,43,4,4,4,3,0.5,0.5,0.5,1.0,2.9989073085560083,0.7764762080735483,1.3474926521419424,4.274891044107186e-07
mts_8751,40808270ce205b83,2021.08.24.14.35.46_veh-45_01568_01663,95.41762810792328,1.0,100.0,94.66077813902471,True,5.3392218609752735,99.87316315414512,0.6821870119749343,-0.7293729337968151,0.7513932856821259,0.2085038158433795,0.8353803880367009,0.0,0.0,0.8547979450741119,0.0,0.8584422286892468,0.0250980168083362,,,,,,,,0.7456276656445782,0.8547979450741119,0.0,0.8547979450741119,0.0,0.8547979450741119,0.0,25,12,12,12,11,0.6207376,0.8547979450741119,0.4000000059604645,1.150754451751709,1.3625149214478784,1.193761984197117,2.323583392649113,4.274891044107186e-07
mts_8692,86208267d61253c0,2021.06.14.18.33.41_veh-35_00488_00562,100.0,1.0,100.0,100.0,True,0.0,100.0,0.6942083954216641,0.6832582162932802,0.5798961950155075,0.6195856930530421,0.5980550153952013,0.5,0.0,0.5,0.0,0.5,0.0,0.6668377031746174,0.5,0.0,0.5,0.0,0.5,0.0,,,,,,,,43,2,2,2,1,0.5,0.5,0.5,1.0,2.0,0.694208284749868,1.388416569499736,1.790436522316061e-07
mts_8751,86208267d61253c0,2021.06.14.18.33.41_veh-35_00488_00562,99.99999999999984,0.9999999999999988,100.0,100.0,True,0.0,100.00000000000004,0.2690876323503369,-0.0983456994266058,0.4592216128711135,0.1994481772114152,0.3252527519661297,0.915252077721427,0.2498638431256344,0.9259537388550428,0.3445883241406943,0.9259537388550428,0.3445883241406943,,,,,,,,0.4298739059098801,0.8984622637629417,0.1012508013090522,0.9259537388550428,0.3445883241406943,0.9259537388550428,0.3445883241406943,26,12,12,12,11,0.68833655,0.8870232803712642,0.3319672644138336,1.0,1.268879487195693,0.500702328820463,2.147353453809394,1.790436522316061e-07
