token,log,contrast,metric,old,new_center_old_residual,old_center_new_residual,new,total_gain,center_contribution,residual_shape_contribution
23e39302332152b2,2021.09.15.14.27.22_veh-39_00038_00414,official_il__grpo_9041,PDMS,92.99462131717893,95.53255196124152,92.99529070444795,95.53331750529054,2.538696188111629,2.5379787224525927,0.0007174656590365
411a748874035630,2021.06.23.15.56.12_veh-16_01308_04289,official_il__grpo_9041,PDMS,100.0,100.0,100.0,100.0,0.0,0.0,0.0
79ebfc1d85bf5a51,2021.06.09.17.23.18_veh-38_00131_00294,official_il__grpo_9041,PDMS,83.52371434910101,85.50349668499442,83.52548992237227,85.50459175759578,1.980877408494763,1.9794420855584531,0.0014353229363095
40808270ce205b83,2021.08.24.14.35.46_veh-45_01568_01663,official_il__grpo_9041,PDMS,95.61527028863289,96.78180953779182,95.615174402457,96.78168665752244,1.1664163688895712,1.166525752112193,-0.0001093832226217
86208267d61253c0,2021.06.14.18.33.41_veh-35_00488_00562,official_il__grpo_9041,PDMS,99.99977892334088,100.0,99.9967336530223,100.0,0.0002210766591161,0.0017437118184062,-0.00152263515929
f8268857204e554e,2021.10.05.06.31.40_veh-52_01598_02013,official_il__grpo_9041,PDMS,90.57922373022444,91.1101311010616,90.57947901452634,91.10949172079108,0.5302679905666423,0.5304600385509488,-0.0001920479843064
1bf169a6aaf65858,2021.07.09.17.06.37_veh-35_00928_02567,official_il__grpo_9041,PDMS,100.0,100.0,100.0,100.0,0.0,0.0,0.0
3764407c90d65df3,2021.10.01.19.16.42_veh-28_01731_01935,official_il__grpo_9041,PDMS,88.28681965139373,88.35715872359661,88.2842116903503,88.34775605870135,0.0609364073076221,0.0669417202769651,-0.0060053129693429
38cfd81687975661,2021.10.01.15.32.11_veh-28_01178_01392,official_il__grpo_9041,PDMS,94.5949647555953,96.76754099700332,94.59731725973276,96.77001767651748,2.1750529209221696,2.1726383290963653,0.0024145918258042
42e6895442ab5601,2021.06.09.14.50.36_veh-26_00677_00819,official_il__grpo_9041,PDMS,100.0,100.0,100.0,100.0,0.0,0.0,0.0
b34272d337d350d2,2021.10.05.07.38.12_veh-50_01085_01463,official_il__grpo_9041,PDMS,80.32249043985819,82.2470416807238,80.32259819777073,82.24920663804762,1.926716198189439,1.9255798405712523,0.0011363576181864
b23ede9a183b5b71,2021.06.09.12.06.35_veh-35_01164_01494,official_il__grpo_9041,PDMS,89.504753378221,90.3276127328937,89.50471106595882,90.32753492091854,0.8227815426975411,0.8228416048162117,-6.006211867060074e-05
fff951eab9f45288,2021.10.11.07.47.13_veh-50_00736_00843,official_il__grpo_9041,PDMS,90.60795721960127,95.58365392091446,90.6088444579178,95.58120915539448,4.973251935793186,4.974030699394923,-0.0007787636017368
4fa9113617d254d4,2021.07.16.22.40.23_veh-38_00818_03032,official_il__grpo_9041,PDMS,100.0,100.0,100.0,100.0,0.0,0.0,0.0
988785170de957da,2021.06.09.12.39.51_veh-26_00055_00360,official_il__grpo_9041,PDMS,93.03006854924956,95.41735767083804,93.03007366135996,95.41735643887093,2.387287889621362,2.387285949549721,1.940071641115537e-06
