token,log,contrast,metric,old,new_center_old_residual,old_center_new_residual,new,total_gain,center_contribution,residual_shape_contribution
23e39302332152b2,2021.09.15.14.27.22_veh-39_00038_00414,official_il__width_only,PDMS,92.99462131717893,,,92.99469040260736,6.90854284357556e-05,,
411a748874035630,2021.06.23.15.56.12_veh-16_01308_04289,official_il__width_only,PDMS,100.0,,,100.0,0.0,,
79ebfc1d85bf5a51,2021.06.09.17.23.18_veh-38_00131_00294,official_il__width_only,PDMS,83.52371434910101,,,83.52701105713498,0.0032967080339716,,
40808270ce205b83,2021.08.24.14.35.46_veh-45_01568_01663,official_il__width_only,PDMS,95.61527028863289,,,95.61527761491833,7.326285427211587e-06,,
86208267d61253c0,2021.06.14.18.33.41_veh-35_00488_00562,official_il__width_only,PDMS,99.99977892334088,,,99.99467827528284,-0.0051006480580468,,
f8268857204e554e,2021.10.05.06.31.40_veh-52_01598_02013,official_il__width_only,PDMS,90.57922373022444,,,90.57930879711948,8.506689502496556e-05,,
1bf169a6aaf65858,2021.07.09.17.06.37_veh-35_00928_02567,official_il__width_only,PDMS,100.0,,,100.0,0.0,,
3764407c90d65df3,2021.10.01.19.16.42_veh-28_01731_01935,official_il__width_only,PDMS,88.28681965139373,,,88.29092256924062,0.0041029178468932,,
38cfd81687975661,2021.10.01.15.32.11_veh-28_01178_01392,official_il__width_only,PDMS,94.5949647555953,,,94.59534026878954,0.0003755131942426,,
42e6895442ab5601,2021.06.09.14.50.36_veh-26_00677_00819,official_il__width_only,PDMS,100.0,,,100.0,0.0,,
b34272d337d350d2,2021.10.05.07.38.12_veh-50_01085_01463,official_il__width_only,PDMS,80.32249043985817,,,80.32193580494156,-0.000554634916611,,
b23ede9a183b5b71,2021.06.09.12.06.35_veh-35_01164_01494,official_il__width_only,PDMS,89.50475337822101,,,89.50476290430476,9.526083744049174e-06,,
fff951eab9f45288,2021.10.11.07.47.13_veh-50_00736_00843,official_il__width_only,PDMS,90.60795721960127,,,90.60745734725556,-0.0004998723457276,,
4fa9113617d254d4,2021.07.16.22.40.23_veh-38_00818_03032,official_il__width_only,PDMS,100.0,,,100.0,0.0,,
988785170de957da,2021.06.09.12.39.51_veh-26_00055_00360,official_il__width_only,PDMS,93.03006854924956,,,93.03006950165944,9.524098629754008e-07,,
046b1cc13f0d5f9d,2021.10.06.17.08.46_veh-28_00498_00621,official_il__width_only,PDMS,100.0,,,100.0,0.0,,
d7fbd35a0f315447,2021.06.09.17.37.09_veh-12_00151_00393,official_il__width_only,PDMS,96.4686065857865,,,96.46864714982708,4.056404058871976e-05,,
951957b841e05cfa,2021.07.09.23.23.48_veh-26_02228_04624,official_il__width_only,PDMS,88.34715948694756,,,88.34715719412202,-2.2928255418719345e-06,,
61db822891625c3b,2021.06.09.17.23.18_veh-38_04782_05228,official_il__width_only,PDMS,91.56071829094869,,,91.56071856232424,2.713755549166308e-07,,
759e9e451eba5b47,2021.06.14.14.25.15_veh-26_05108_05312,official_il__width_only,PDMS,96.96910324219344,,,96.9691098342282,6.59203476516268e-06,,
9c05edf9d6e85716,2021.06.23.16.52.00_veh-26_01043_03099,official_il__width_only,PDMS,91.31529573904052,,,91.31996883794746,0.0046730989069487,,
467bbee636b65c84,2021.06.14.13.28.41_veh-12_05269_05369,official_il__width_only,PDMS,89.3002929657325,,,89.2999382355435,-0.0003547301890023,,
4f6409df56a85592,2021.06.14.13.28.41_veh-12_01313_01541,official_il__width_only,PDMS,85.87509844656469,,,85.87944000929076,0.0043415627260685,,
16ddb1838af755e3,2021.10.11.08.31.07_veh-50_00282_00680,official_il__width_only,PDMS,84.0797449300958,,,84.0797402164334,-4.71366240617499e-06,,
2ce59f70a15b5ddf,2021.05.12.22.28.35_veh-35_02138_02481,official_il__width_only,PDMS,100.0,,,100.0,0.0,,
461fb854eaa3583e,2021.09.14.20.42.30_veh-45_00805_01078,official_il__width_only,PDMS,100.0,,,100.0,0.0,,
8b800af555d35794,2021.07.16.16.08.35_veh-35_01664_02376,official_il__width_only,PDMS,100.0,,,100.0,0.0,,
2ab1b3941f7153cb,2021.06.23.15.18.10_veh-26_00165_02848,official_il__width_only,PDMS,95.32109124395782,,,95.32109080619956,-4.377582598635854e-07,,
4bc510a669d8549f,2021.07.16.20.45.29_veh-35_01513_02486,official_il__width_only,PDMS,62.6450125916943,,,64.56124254031437,1.916229948620071,,
3387bab95d41528a,2021.08.31.16.37.21_veh-40_00798_00955,official_il__width_only,PDMS,99.93199304685372,,,99.89454997697344,-0.0374430698802967,,
e5acc98f52f458cc,2021.06.14.18.13.35_veh-26_01728_01918,official_il__width_only,PDMS,97.26944330481848,,,97.2694304166062,-1.288821226808068e-05,,
3e9026530c475726,2021.08.17.14.32.33_veh-08_01576_01919,official_il__width_only,PDMS,96.32945847826193,,,96.32944571682576,-1.2761436153141403e-05,,
2ae0a44cc4de5c4a,2021.06.14.13.28.41_veh-12_01779_02059,official_il__width_only,PDMS,100.0,,,99.99901702543586,-0.0009829745641383,,
cc94486698ff58d1,2021.07.09.20.26.06_veh-35_02793_03289,official_il__width_only,PDMS,92.05183585509818,,,92.05120739550708,-0.0006284595910983,,
969763763ce754a4,2021.09.15.11.49.23_veh-28_00280_00506,official_il__width_only,PDMS,100.0,,,100.0,0.0,,
ff6ab495a139534e,2021.06.14.14.03.45_veh-38_03180_03766,official_il__width_only,PDMS,78.7941779664695,,,78.80333557520365,0.0091576087341422,,
70248e0bb43a503b,2021.06.09.20.26.11_veh-35_01227_01514,official_il__width_only,PDMS,100.0,,,100.0,0.0,,
2a2403c9b08b53ac,2021.08.31.16.37.21_veh-40_00798_00955,official_il__width_only,PDMS,95.2705962624485,,,95.27071683255949,0.0001205701109796,,
854169aa74e95251,2021.07.24.20.37.45_veh-17_00015_00375,official_il__width_only,PDMS,86.51670166263887,,,84.56356731368024,-1.953134348958628,,
93a9927586995095,2021.08.17.17.55.18_veh-43_00358_00673,official_il__width_only,PDMS,100.0,,,100.0,0.0,,
af62d866653053f6,2021.10.11.05.34.05_veh-50_00971_01251,official_il__width_only,PDMS,87.88061175624223,,,88.06274551075805,0.1821337545158172,,
17d296a87fb45380,2021.06.23.14.54.32_veh-16_01187_03336,official_il__width_only,PDMS,96.35604732674832,,,96.35605040124432,3.074496007116068e-06,,
5370751917315916,2021.06.09.19.40.26_veh-12_01525_02020,official_il__width_only,PDMS,100.0,,,100.0,0.0,,
adaf33e4ba555709,2021.06.23.21.56.29_veh-35_01603_02401,official_il__width_only,PDMS,94.22666000208253,,,94.21182511949948,-0.0148348825830453,,
1aa0acb229945e9b,2021.08.31.13.27.52_veh-40_00869_01319,official_il__width_only,PDMS,98.4404374926554,,,98.44047750183016,4.0009174739452646e-05,,
fad9e78a17825042,2021.06.14.11.44.56_veh-35_02983_03378,official_il__width_only,PDMS,90.24939119409332,,,90.24940103866932,9.84457599884081e-06,,
4eaf32face4b5ece,2021.07.09.20.26.06_veh-35_03898_05974,official_il__width_only,PDMS,99.9923184146348,,,99.99112919816773,-0.0011892164670683,,
2db045daf25c5bb7,2021.07.09.20.59.12_veh-38_01208_01692,official_il__width_only,PDMS,92.67799018293522,,,92.67799389619708,3.713261861548745e-06,,
b23f3d728c08529f,2021.06.14.13.27.42_veh-35_04001_04236,official_il__width_only,PDMS,100.0,,,100.0,0.0,,
dc76a771066b5553,2021.10.05.08.11.15_veh-50_00163_00321,official_il__width_only,PDMS,92.26391156793495,,,92.26390519459623,-6.373338706566756e-06,,
d76b0458667c59a2,2021.08.31.16.37.21_veh-40_01101_01177,official_il__width_only,PDMS,100.0,,,100.0,0.0,,
8cf3b1868b2f5262,2021.06.14.13.27.42_veh-35_03463_03587,official_il__width_only,PDMS,97.75481286525218,,,97.73184693907874,-0.0229659261734411,,
990bd9b32e5d5f60,2021.06.09.12.39.51_veh-26_02338_02459,official_il__width_only,PDMS,91.49770306325802,,,91.49770568970416,2.626446132580895e-06,,
6320ecb991675a39,2021.10.05.08.11.15_veh-50_00437_00585,official_il__width_only,PDMS,87.04620239404177,,,87.04621358252035,1.1188478580947958e-05,,
66243e185353563a,2021.10.05.08.11.15_veh-50_01566_01801,official_il__width_only,PDMS,88.68250508106085,,,88.68270616882106,0.0002010877602032,,
cde84b97e6505437,2021.07.24.23.50.16_veh-17_01696_02071,official_il__width_only,PDMS,89.98269062805875,,,89.98268661031696,-4.01774178726555e-06,,
d968f9c81b945be1,2021.07.16.01.22.41_veh-14_04315_07102,official_il__width_only,PDMS,100.0,,,100.0,0.0,,
0a87bb919dbb58b6,2021.06.23.16.52.00_veh-26_01043_03099,official_il__width_only,PDMS,96.16614048951932,,,96.16614069239984,2.0288052837713627e-07,,
fe5811497ace53af,2021.07.16.00.51.05_veh-17_01352_01901,official_il__width_only,PDMS,94.26475886522604,,,94.26475710618428,-1.7590417655810595e-06,,
