token,split,method,count,weighted_PDMS,weighted_feasible,GT_weight,target_pairwise_ADE,source,fallback,score_pareto_identical
02537b6a591255a2,train,il_sft,1,100.0,1.0,1.0,0.0,gt,False,True
02537b6a591255a2,train,score,3,100.0,1.0,0.699999988079071,0.1093914732336998,gt|policy|policy,False,True
02537b6a591255a2,train,pareto,3,100.0,1.0,0.699999988079071,0.1093914732336998,gt|policy|policy,False,True
02537b6a591255a2,train,psi,3,100.0,1.0,0.699999988079071,0.70654296875,gt|progress_gamma|timing_delay,False,True
ddd9460047a850f9,train,il_sft,1,100.0,1.0,1.0,0.0,gt,False,True
ddd9460047a850f9,train,score,3,100.0,1.0,0.699999988079071,0.15049447119235992,gt|policy|policy,False,True
ddd9460047a850f9,train,pareto,3,100.0,1.0,0.699999988079071,0.15049447119235992,gt|policy|policy,False,True
ddd9460047a850f9,train,psi,2,100.0,1.0,0.699999988079071,0.44567734003067017,gt|progress_speed,False,True
d016940996e154d5,train,il_sft,1,99.23791596106679,1.0,1.0,0.0,gt,False,True
d016940996e154d5,train,score,3,99.82783005474231,1.0,0.0,1.3913501501083374,progress_endpoint|progress_speed|policy,False,True
d016940996e154d5,train,pareto,3,99.82783005474231,1.0,0.0,1.3913501501083374,progress_endpoint|progress_speed|policy,False,True
d016940996e154d5,train,psi,1,99.90441793876053,1.0,0.0,0.0,progress_endpoint,False,True
652a2fd850d955a5,train,il_sft,1,82.98470975363826,1.0,1.0,0.0,gt,False,True
652a2fd850d955a5,train,score,3,100.0,1.0,0.0,1.0443953275680542,policy|ddv2|driveor,False,True
652a2fd850d955a5,train,pareto,3,100.0,1.0,0.0,1.0443953275680542,policy|ddv2|driveor,False,True
652a2fd850d955a5,train,psi,2,100.0,1.0,0.0,1.4486281871795654,policy|ddv2,False,True
c3fedea4fc8156b8,train,il_sft,1,92.98316414730562,1.0,1.0,0.0,gt,False,True
c3fedea4fc8156b8,train,score,3,95.35179386244373,1.0,0.0,0.3667037785053253,driveor|policy|ddv2,False,True
c3fedea4fc8156b8,train,pareto,3,95.35179386244373,1.0,0.0,0.3667037785053253,driveor|policy|ddv2,False,True
c3fedea4fc8156b8,train,psi,1,95.96646418580819,1.0,0.0,0.0,driveor,False,True
2570fbfdf1835706,train,il_sft,1,92.42324372222274,1.0,1.0,0.0,gt,False,True
2570fbfdf1835706,train,score,3,100.0,1.0,0.0,1.5136789083480835,policy|ddv2|driveor,False,True
2570fbfdf1835706,train,pareto,3,100.0,1.0,0.0,1.5136789083480835,policy|ddv2|driveor,False,True
2570fbfdf1835706,train,psi,2,100.0,1.0,0.0,2.2694895267486572,driveor|ddv2,False,True
167e8e4b0d585105,train,il_sft,1,96.23829061914496,1.0,1.0,0.0,gt,False,True
167e8e4b0d585105,train,score,3,99.69195841040938,1.0,0.0,1.0562325716018677,policy|driveor|ddv2,False,True
167e8e4b0d585105,train,pareto,3,99.69195841040938,1.0,0.0,1.0562325716018677,policy|driveor|ddv2,False,True
167e8e4b0d585105,train,psi,1,100.0,1.0,0.0,0.0,policy,False,True
5193794ac7d15ec5,train,il_sft,1,100.0,1.0,1.0,0.0,gt,False,True
5193794ac7d15ec5,train,score,3,100.0,1.0,0.699999988079071,0.058675557374954224,gt|policy|policy,False,True
5193794ac7d15ec5,train,pareto,3,100.0,1.0,0.699999988079071,0.058675557374954224,gt|policy|policy,False,True
5193794ac7d15ec5,train,psi,3,100.0,1.0,0.699999988079071,0.663920521736145,gt|progress_gamma|timing_delay,False,True
885f7aace2d15fe3,train,il_sft,1,85.15895698308063,1.0,1.0,0.0,gt,False,True
885f7aace2d15fe3,train,score,3,100.0,1.0,0.0,0.5218237042427063,policy|policy|policy,False,True
885f7aace2d15fe3,train,pareto,3,100.0,1.0,0.0,0.5218237042427063,policy|policy|policy,False,True
885f7aace2d15fe3,train,psi,2,100.0,1.0,0.0,1.804007649421692,driveor|policy,False,True
fadee7de460e5e15,train,il_sft,1,100.0,1.0,1.0,0.0,gt,False,True
fadee7de460e5e15,train,score,3,100.0,1.0,0.699999988079071,0.295830100774765,gt|policy|policy,False,True
fadee7de460e5e15,train,pareto,3,100.0,1.0,0.699999988079071,0.295830100774765,gt|policy|policy,False,True
fadee7de460e5e15,train,psi,3,100.0,1.0,0.699999988079071,1.1431456804275513,gt|progress_endpoint|policy,False,True
77149c1f5612588a,train,il_sft,1,87.01345605415044,1.0,1.0,0.0,gt,False,True
77149c1f5612588a,train,score,3,93.0365627784059,1.0,0.0,0.7335049510002136,driveor|ddv2|progress_endpoint,False,True
