claim_id,section,page,claim_or_metric,method,value,benchmark,source_location,notes
META_TITLE,"Title",1,"paper title","AMPT","Aligning Multi-Trajectory Supervision with Policy Optimization for VLA Driving","","page title","Anonymous submission"
ABS_V1_PDMS,"Abstract",1,"PDMS","AMPT","91.4","NAVSIM v1","Abstract","Single-trajectory inference"
ABS_V2_EPDMS,"Abstract",1,"EPDMS","AMPT","89.1","NAVSIM v2","Abstract","Single-trajectory inference"
ABS_RECOVERED,"Abstract",1,"recovered initial failures","AMPT","440 of 658","NAVSIM v1 hard-scene subset","Abstract","Gross recovery; no new-failure count is given"
ABS_RECOVERY_GAIN,"Abstract",1,"recovery-rate gain over original GRPO","AMPT vs scalar GRPO","11.1% higher","NAVSIM v1 hard-scene subset","Abstract","Body on p. 7 correctly calls this 11.1 percentage points"
INTRO_SCORE_IL,"Introduction",2,"IL PDMS","Score","87.2","NAVSIM v1","Introduction; Figure 1(b); Table 2","Point estimate; runs/seeds not stated"
INTRO_SCORE_GRPO,"Introduction",2,"post-GRPO PDMS","Score","85.8","NAVSIM v1","Introduction; Figure 1(b); Table 2","Same original scalar GRPO"
INTRO_PARETO_IL,"Introduction",2,"IL PDMS","Pareto","87.5","NAVSIM v1","Introduction; Figure 1(b); Table 2","Point estimate; runs/seeds not stated"
INTRO_PARETO_GRPO,"Introduction",2,"post-GRPO PDMS","Pareto","86.7","NAVSIM v1","Introduction; Figure 1(b); Table 2","Same original scalar GRPO"
INTRO_GT_GRPO,"Introduction",2,"post-GRPO PDMS","GT","90.3","NAVSIM v1","Introduction; Figure 1(b); Table 2","Same original scalar GRPO"
INTRO_PCMTS_GRPO,"Introduction",2,"post-GRPO PDMS","PC-MTS","91.1","NAVSIM v1","Introduction; Figure 1(b); Table 2","Same original scalar GRPO"
INTRO_RECOVERY_DIFF,"Introduction",2,"additional recovered scenes","AMPT vs scalar GRPO","73","NAVSIM v1 hard-scene subset","Introduction","440 minus 367"
NAME_AMPT,"Introduction",2,"framework expansion","AMPT","Aligned Multi-Trajectory Policy Training","","Method-introduction paragraph","Current full-framework name"
NAME_PCMTS,"Introduction",2,"stage expansion","PC-MTS","Policy-Compatible Multi-Trajectory Supervision","","Contribution bullet and Method","Current Stage 1 name"
NAME_FFPGRPO,"Introduction",2,"stage expansion","FF-PGRPO","Feasibility-First Pareto GRPO","","Contribution bullet and Method","Current Stage 2 name"
NAME_APR_CURRENT,"Method",4,"stage expansion","APR","Adaptive Pareto-Guided Policy Refinement","","Method overview and p. 5 heading","Current Stage 3 name"
NAME_IPR_OLD,"Introduction",2,"obsolete stage expansion","IPR","Iterative Pareto-guided policy refinement","","Third contribution bullet","Naming inconsistency: normalize to APR in supplement"
ARCH_INPUT,"Preliminaries",3,"policy input context","Driving VLA","multi-view cameras; navigation command; ego-vehicle state","","Driving VLA policy paragraph","Denoted o"
ARCH_OUTPUT,"Preliminaries",3,"policy output","Driving VLA","continuous future trajectory tau={w_t}_{t=1}^H","","Driving VLA policy paragraph","H is symbolic and no horizon value is stated"
ARCH_MODEL,"Preliminaries",3,"policy factorization","Driving VLA","VLM context encoder plus conditional diffusion planner pi_theta(tau|o)","","Driving VLA policy paragraph",""
EQ1_NOISING,"Preliminaries",3,"forward noising equation","SFT","x_t=sqrt(alpha_bar_t) tau* + sqrt(1-alpha_bar_t) epsilon","","text before Eq. (1)",""
EQ1_LOSS,"Preliminaries",3,"diffusion SFT objective","SFT","E ||epsilon-epsilon_theta(x_t,t,o)||_2^2","","Eq. (1)","Used for logged targets selected candidates and distilled targets"
PRELIM_GT,"Preliminaries",4,"GT-only policy construction","pi_GT","optimize Eq. (1) on logged trajectories then freeze","","first paragraph p. 4","Frozen policy supplies selection rollouts"
GRPO_GROUP,"Preliminaries",4,"rollout group","GRPO","G trajectories for the same scene","","Group-relative policy optimization paragraph","G is symbolic here; implementation later states 16"
EQ2_LOSS,"Preliminaries",4,"trajectory-level GRPO objective","GRPO","-E[(1/G) sum_i Ahat_i log pi_theta(tau_i|o)] + beta L_reg","","Eq. (2)","L_reg is BC or KL regularization"
EQ3_ADV,"Preliminaries",4,"standard group-relative advantage","scalar GRPO","(R_i-mu_R)/(sigma_R+epsilon)","","Eq. (3)","Based on aggregate reward only"
METHOD_STAGES,"Method",4,"number of AMPT stages","AMPT","3","","Method overview","PC-MTS; FF-PGRPO; APR"
INFERENCE_ONE,"Method",3,"inference candidates","AMPT","1 trajectory","NAVSIM v1/v2","end of Related Work/Preliminaries transition","No test-time scorer or candidate reranking"
PCMTS_FILTER_ORDER,"Method: PC-MTS",4,"candidate quality filter","PC-MTS","basic safety/compliance; sufficient aggregate score; scene-wise component Pareto front","NAVSIM","PC-MTS first paragraph","Threshold values are not stated"
PCMTS_V1_HARD,"Method: PC-MTS",4,"hard feasibility metrics","PC-MTS","NC and DAC","NAVSIM v1","Method overview and PC-MTS","Both must remain valid"
PCMTS_V1_PROTECTED,"Method: PC-MTS",4,"protected compliance metric","PC-MTS","DDC","NAVSIM v1","PC-MTS first paragraph","No guard threshold is stated"
PCMTS_V1_PARETO,"Method: PC-MTS",4,"Pareto objectives","PC-MTS","EP; TTC; comfort","NAVSIM v1","PC-MTS first paragraph",""
PCMTS_DISTANCE,"Method: PC-MTS",4,"policy compatibility distance","PC-MTS","average waypoint distance to K nearest frozen-policy rollouts","NAVSIM","PC-MTS second paragraph","K and coordinate normalization are not stated"
PCMTS_CALIBRATION,"Method: PC-MTS",4,"compatibility threshold calibration","PC-MTS","held-out rollouts of same policy; separate per navigation command","NAVSIM","PC-MTS second paragraph","Held-out size/independence/quantile not stated"
PCMTS_LOCAL,"Method: PC-MTS",4,"local feasibility test","PC-MTS","temporally coherent nearby trajectories from normal pi_GT rollout variation; require most feasible","NAVSIM","PC-MTS third paragraph","Perturbation count and pass threshold not stated"
PCMTS_LOGGED,"Method: PC-MTS",4,"logged-target retention","PC-MTS","always retained","","PC-MTS third paragraph",""
PCMTS_ONE_TARGET,"Method: PC-MTS",4,"targets contributed per scene per fine-tuning step","PC-MTS","1","","PC-MTS third paragraph","Sampled from logged plus accepted candidates regardless of pool size"
PCMTS_OUTPUT,"Method: PC-MTS",4,"stage output","PC-MTS","pi_initial","","PC-MTS third paragraph","Fine-tuned copy of pi_GT"
V2_HIERARCHY,"Method",4,"added feasibility/compliance checks","AMPT","DDC and TLC","NAVSIM v2","Method overview","Continuous planning metrics compared after checks"
FF_REFERENCE_SOURCES,"Method: FF-PGRPO",4,"coherent-reference candidate sources","FF-PGRPO","logged trajectory; retained candidates; pi_initial single prediction","NAVSIM","FF-PGRPO first paragraph",""
FF_REFERENCE_SELECT,"Method: FF-PGRPO",4,"coherent-reference rule","FF-PGRPO","highest-scoring feasible candidate","NAVSIM","FF-PGRPO first paragraph","All metrics come from one executable plan; no no-feasible fallback stated"
FF_V1_HARD,"Method: FF-PGRPO",4,"hard feasibility metrics","FF-PGRPO","NC and DAC","NAVSIM v1","FF-PGRPO second paragraph",""
FF_DDC_GUARD,"Method: FF-PGRPO",4,"DDC guard","FF-PGRPO","absolute or reference-relative","NAVSIM v1","FF-PGRPO second paragraph","Numerical guard not stated"
FF_EP_FLOOR,"Method: FF-PGRPO",4,"EP guard","FF-PGRPO","reference-relative floor","NAVSIM v1","FF-PGRPO second paragraph","Prevents TTC gain from simply slowing; threshold not stated"
FF_PARETO,"Method: FF-PGRPO",4,"admissible Pareto objectives","FF-PGRPO","EP; TTC; comfort","NAVSIM v1","FF-PGRPO second paragraph","After feasibility/reference checks"
FF_QUALITY,"Method: FF-PGRPO",4,"group quality signal","FF-PGRPO","PDMS","NAVSIM v1","FF-PGRPO third paragraph","Mixed groups additionally penalize low EP and joint EP/TTC regression"
FF_ALLFEAS_NORM,"Method: FF-PGRPO",4,"all-feasible normalization","FF-PGRPO","continuous component of PDMS only","NAVSIM v1","FF-PGRPO third paragraph","Binary feasibility terms already satisfied"
EQ4_PARETO,"Method: FF-PGRPO",4,"advantage for admissible Pareto rollout","FF-PGRPO","max(Ahat_i,0)","NAVSIM","Eq. (4)","Group has at least one feasible rollout"
EQ4_DOMINATED,"Method: FF-PGRPO",4,"advantage for feasible non-Pareto rollout","FF-PGRPO","min(Ahat_i,0)","NAVSIM","Eq. (4)","Cannot receive positive credit"
EQ4_UNSAFE,"Method: FF-PGRPO",4,"advantage for infeasible rollout","FF-PGRPO","-lambda_unsafe + min(Ahat_i,0)","NAVSIM","Eq. (4)","lambda_unsafe is not specified"
FF_ALLINFEAS,"Method: FF-PGRPO",5,"all-infeasible group positive rollouts","FF-PGRPO","0","NAVSIM","first full paragraph p. 5","Non-positive credit by violation severity"
