token,method,amplitude,original_PDMS,local_PDMS,PDMS_drop,feasible_rate,failure_rate,hard_failure_rate
23e39302332152b2,score,0.05,96.84449747396911,96.84335001857862,0.0011474553904928797,1.0,0.0,0.0
23e39302332152b2,score,0.15,96.84449747396911,96.84098277619614,0.003514697772970088,1.0,0.0,0.0
23e39302332152b2,score,0.3,96.84449747396911,96.8375388164886,0.00695865748050295,1.0,0.0,0.0
23e39302332152b2,score,0.5,96.84449747396911,96.8323223423813,0.012175131587805588,1.0,0.0,0.0
23e39302332152b2,pareto,0.05,96.84449747396911,96.84335001857862,0.0011474553904928797,1.0,0.0,0.0
23e39302332152b2,pareto,0.15,96.84449747396911,96.84098277619614,0.003514697772970088,1.0,0.0,0.0
23e39302332152b2,pareto,0.3,96.84449747396911,96.8375388164886,0.00695865748050295,1.0,0.0,0.0
23e39302332152b2,pareto,0.5,96.84449747396911,96.8323223423813,0.012175131587805588,1.0,0.0,0.0
23e39302332152b2,gt_distance,0.05,94.51974418514492,94.51860341083668,0.001140774308229453,1.0,0.0,0.0
23e39302332152b2,gt_distance,0.15,94.51974418514492,94.5162920472363,0.0034521379085932224,1.0,0.0,0.0
23e39302332152b2,gt_distance,0.3,94.51974418514492,94.5124528220849,0.0072913630600117685,1.0,0.0,0.0
23e39302332152b2,gt_distance,0.5,94.51974418514492,94.50721105881729,0.012533126327620714,0.9895833333333334,0.01041666666666663,0.0
23e39302332152b2,pc_mts,0.05,93.55189428551876,93.55074396548761,0.0011503200311313577,1.0,0.0,0.0
23e39302332152b2,pc_mts,0.15,93.55189428551876,93.54830610406484,0.003588181453907602,1.0,0.0,0.0
23e39302332152b2,pc_mts,0.3,93.55189428551876,93.54483827517996,0.007056010338790664,1.0,0.0,0.0
23e39302332152b2,pc_mts,0.5,93.55189428551876,93.53975623742326,0.012138048095478915,1.0,0.0,0.0
411a748874035630,score,0.05,100.0,100.0,0.0,1.0,0.0,0.0
411a748874035630,score,0.15,100.0,93.75,6.249999999999999,0.9375,0.0625,0.0625
411a748874035630,score,0.3,100.0,70.83333333333334,29.166666666666664,0.7083333333333333,0.29166666666666674,0.2916666666666667
411a748874035630,score,0.5,100.0,66.66666666666667,33.33333333333333,0.6666666666666666,0.33333333333333337,0.3333333333333333
411a748874035630,pareto,0.05,100.0,93.75,6.249999999999999,0.9375,0.0625,0.0625
411a748874035630,pareto,0.15,100.0,93.75,6.249999999999999,0.9375,0.0625,0.0625
411a748874035630,pareto,0.3,100.0,90.625,9.375,0.90625,0.09375,0.09375
