token,distribution,p0,p5,p25,p50,p75,p95,p99,p100,count,exceeds_V1_self_max
2a2403c9b08b53ac,V1_IL_self_KNN,0.050762563943862915,0.058228602074086665,0.07332963682711124,0.08269160240888596,0.09237346798181534,0.1196477562189101,0.170906728953123,0.1900627613067627,64,
2a2403c9b08b53ac,V1_candidate_KNN,0.18126014351569447,0.21518198858951249,0.2701574594899705,0.3299090470908966,0.4198481331047646,1.0581453950669297,1.6718100241803413,1.728995455280406,128,0.9921875
2a2403c9b08b53ac,V2_IL_Q_to_R_KNN,0.045192331075668335,0.050092744454741475,0.05807448737323284,0.06430785730481148,0.07497177831828594,0.09930595904588699,0.11997149556875233,0.1305525302886963,128,
2a2403c9b08b53ac,V2_candidate_KNN,0.04761276419896333,0.058273287542990285,0.13113875122046048,0.2577113477743875,0.3621563434189681,0.9409818447901531,1.4307299338761326,1.6894899361274773,192,
2a2403c9b08b53ac,V2_Q_mahalanobis,1.75049930638303,2.238018291269597,2.668327629424949,3.0597165000613056,3.5041366903664866,4.241451512549298,5.082524488410173,5.581137273942504,128,
dc76a771066b5553,V1_IL_self_KNN,0.02474937215447426,0.02950340062379837,0.036005997098982334,0.04058459587395191,0.04801823664456606,0.07150320485234259,0.10131736725568764,0.119411900639534,64,
dc76a771066b5553,V1_candidate_KNN,0.11454627052721071,0.17556187447234398,0.2111759184582991,0.2464915262332805,0.5549077766082801,1.7262340481325766,1.8621264210556863,2.0938203628371443,128,0.9921875
dc76a771066b5553,V2_IL_Q_to_R_KNN,0.016860052943229675,0.022803526930511,0.029419698752462864,0.03366357646882534,0.04125471878796816,0.05523081701248883,0.07700695641338827,0.1013169139623642,128,
dc76a771066b5553,V2_candidate_KNN,0.02393228180364849,0.02899459786742264,0.11777762047722862,0.19444732265995862,0.4534173125045196,1.6495184878183657,1.8107882014552665,2.070665858843875,192,
dc76a771066b5553,V2_Q_mahalanobis,1.2376139184922346,1.7025630815146153,2.2436676785143153,2.6753958951263686,3.0285751829287073,3.6716204151898664,4.3182911748755926,4.4630314166433624,128,
