scene_id,split,benchmark,method,stage,variant,seed,round,sample_index,teacher_source,teacher_status,raw_source_file,aggregate_score,NC,DAC,DDC,TLC,EP,TTC,LK,HC,EC,feasible,zero_score
00137a5ce92d591c,navtest,NAVSIM v2,AMPT,APR,paper_final,,3,0,,,outputs/fair_ec_pdms914153_navtest_20260727/raw_path_temporal_cap2_final_score/navsim_v2_navtest_epdms.csv,0.0,1.0,0.0,1.0,1.0,0.7403082995944847,1.0,1.0,1.0,1.0,False,True
003a1fdca9505c09,navtest,NAVSIM v2,AMPT,APR,paper_final,,3,0,,,outputs/fair_ec_pdms914153_navtest_20260727/raw_path_temporal_cap2_final_score/navsim_v2_navtest_epdms.csv,0.9984659296637988,1.0,1.0,1.0,1.0,0.995090974924156,1.0,1.0,1.0,1.0,True,False
01b78ea52da8595a,navtest,NAVSIM v2,AMPT,APR,paper_final,,3,0,,,outputs/fair_ec_pdms914153_navtest_20260727/raw_path_temporal_cap2_final_score/navsim_v2_navtest_epdms.csv,0.875,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,True,False
000bf168dd5159af,navtest,NAVSIM v2,AMPT,APR,paper_final,,3,0,,,outputs/fair_ec_pdms914153_navtest_20260727/raw_path_temporal_cap2_final_score/navsim_v2_navtest_epdms.csv,0.9829817198195416,1.0,1.0,1.0,1.0,0.9455415034225336,1.0,1.0,1.0,1.0,True,False
012432bd62b85f80,navtest,NAVSIM v2,AMPT,APR,paper_final,,3,0,,,outputs/fair_ec_pdms914153_navtest_20260727/raw_path_temporal_cap2_final_score/navsim_v2_navtest_epdms.csv,0.7353314841302145,1.0,1.0,1.0,1.0,0.5530607492166864,1.0,1.0,1.0,0.0,True,False
0000548db87959c2,navtest,NAVSIM v2,AMPT,APR,paper_final,,3,0,,,outputs/fair_ec_pdms914153_navtest_20260727/raw_path_temporal_cap2_final_score/navsim_v2_navtest_epdms.csv,0.990283902330788,1.0,1.0,1.0,1.0,0.9727949265262064,1.0,1.0,1.0,,True,False
01314f10793f5ad7,navtest,NAVSIM v2,AMPT,APR,paper_final,,3,0,,,outputs/fair_ec_pdms914153_navtest_20260727/raw_path_temporal_cap2_final_score/navsim_v2_navtest_epdms.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False
01f3a4a21dc2582f,navtest,NAVSIM v2,AMPT,APR,paper_final,,3,0,,,outputs/fair_ec_pdms914153_navtest_20260727/raw_path_temporal_cap2_final_score/navsim_v2_navtest_epdms.csv,0.9380981945168564,1.0,1.0,1.0,1.0,0.8019142224539406,1.0,1.0,1.0,1.0,True,False
01c019a7360f5445,navtest,NAVSIM v2,AMPT,APR,paper_final,,3,0,,,outputs/fair_ec_pdms914153_navtest_20260727/raw_path_temporal_cap2_final_score/navsim_v2_navtest_epdms.csv,0.955366001410096,1.0,1.0,1.0,1.0,0.8571712045123074,1.0,1.0,1.0,1.0,True,False
00f20c2762515d09,navtest,NAVSIM v2,AMPT,APR,paper_final,,3,0,,,outputs/fair_ec_pdms914153_navtest_20260727/raw_path_temporal_cap2_final_score/navsim_v2_navtest_epdms.csv,0.9947960468569016,1.0,1.0,1.0,1.0,0.9833473499420844,1.0,1.0,1.0,1.0,True,False
0004474e9e3f5470,navtest,NAVSIM v2,AMPT,APR,paper_final,,3,0,,,outputs/fair_ec_pdms914153_navtest_20260727/raw_path_temporal_cap2_final_score/navsim_v2_navtest_epdms.csv,0.8403766433408933,1.0,1.0,1.0,1.0,0.5530546013545014,1.0,1.0,1.0,,True,False
001d444661b45635,navtest,NAVSIM v2,AMPT,APR,paper_final,,3,0,,,outputs/fair_ec_pdms914153_navtest_20260727/raw_path_temporal_cap2_final_score/navsim_v2_navtest_epdms.csv,0.9666207950642832,1.0,1.0,1.0,1.0,0.8931865442057059,1.0,1.0,1.0,1.0,True,False
0116de776d6b5d1b,navtest,NAVSIM v2,AMPT,APR,paper_final,,3,0,,,outputs/fair_ec_pdms914153_navtest_20260727/raw_path_temporal_cap2_final_score/navsim_v2_navtest_epdms.csv,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,True,False
