token,log,cohort,command,model,protocol,pairwise_ADE64,centroid_displacement,mean_PDMS
23e39302332152b2,2021.09.15.14.27.22_veh-39_00038_00414,OLD1000,left,official_il,eval,0.1609487533569336,0.0,92.91991524876846
23e39302332152b2,2021.09.15.14.27.22_veh-39_00038_00414,OLD1000,left,official_il,native_grpo,2.078009605407715,0.0,75.54591037221493
23e39302332152b2,2021.09.15.14.27.22_veh-39_00038_00414,OLD1000,left,original_grpo_11970,eval,0.18558743596076965,0.7112197875976562,95.44820853280939
23e39302332152b2,2021.09.15.14.27.22_veh-39_00038_00414,OLD1000,left,original_grpo_11970,native_grpo,2.0935099124908447,0.7119930982589722,84.93743600967122
23e39302332152b2,2021.09.15.14.27.22_veh-39_00038_00414,OLD1000,left,psi_sft,eval,0.4050804078578949,0.5568963885307312,94.84608578705424
23e39302332152b2,2021.09.15.14.27.22_veh-39_00038_00414,OLD1000,left,psi_sft,native_grpo,2.4697744846343994,0.5698343515396118,76.47165336909083
411a748874035630,2021.06.23.15.56.12_veh-16_01308_04289,OLD1000,right,official_il,eval,0.14838005602359772,0.0,100.0
411a748874035630,2021.06.23.15.56.12_veh-16_01308_04289,OLD1000,right,official_il,native_grpo,2.014084815979004,0.0,74.47161640602475
411a748874035630,2021.06.23.15.56.12_veh-16_01308_04289,OLD1000,right,original_grpo_11970,eval,0.1626681089401245,0.30481570959091187,100.0
411a748874035630,2021.06.23.15.56.12_veh-16_01308_04289,OLD1000,right,original_grpo_11970,native_grpo,2.0228285789489746,0.30179446935653687,84.375
411a748874035630,2021.06.23.15.56.12_veh-16_01308_04289,OLD1000,right,psi_sft,eval,0.2835558354854584,0.1497853845357895,100.0
411a748874035630,2021.06.23.15.56.12_veh-16_01308_04289,OLD1000,right,psi_sft,native_grpo,2.210043430328369,0.18014290928840637,69.89804790342957
79ebfc1d85bf5a51,2021.06.09.17.23.18_veh-38_00131_00294,OLD1000,straight,official_il,eval,0.10026455670595169,0.0,83.60345040416166
79ebfc1d85bf5a51,2021.06.09.17.23.18_veh-38_00131_00294,OLD1000,straight,official_il,native_grpo,1.9641531705856323,0.0,58.621312712790754
79ebfc1d85bf5a51,2021.06.09.17.23.18_veh-38_00131_00294,OLD1000,straight,original_grpo_11970,eval,0.12241392582654953,0.3195018768310547,85.52512272356631
79ebfc1d85bf5a51,2021.06.09.17.23.18_veh-38_00131_00294,OLD1000,straight,original_grpo_11970,native_grpo,1.971292495727539,0.301442950963974,63.46343135977678
79ebfc1d85bf5a51,2021.06.09.17.23.18_veh-38_00131_00294,OLD1000,straight,psi_sft,eval,0.2594626545906067,0.6067498922348022,88.89116154418099
79ebfc1d85bf5a51,2021.06.09.17.23.18_veh-38_00131_00294,OLD1000,straight,psi_sft,native_grpo,2.250399589538574,0.7864359617233276,49.091991402289516
40808270ce205b83,2021.08.24.14.35.46_veh-45_01568_01663,OLD1000,straight,official_il,eval,0.15444722771644592,0.0,95.59542470272724
